Year,Month,Day,net_move,Station
2017,10,01,4.229,9448876
2017,10,02,5.050000000000001,9448876
2017,10,03,5.6819999999999995,9448876
2017,10,04,6.333,9448876
2017,10,05,6.916,9448876
2017,10,06,7.335,9448876
2017,10,07,7.529,9448876
2017,10,08,4.846,9448876
2017,10,09,7.114,9448876
2017,10,10,6.692,9448876
2017,10,11,6.181,9448876
2017,10,12,5.768,9448876
2017,10,13,5.606,9448876
2017,10,14,5.194,9448876
2017,10,15,5.671,9448876
2017,10,16,6,9448876
2017,10,17,6.352,9448876
2017,10,18,6.603000000000001,9448876
2017,10,19,6.714,9448876
2017,10,20,6.677,9448876
2017,10,21,6.5089999999999995,9448876
2017,10,22,3.947,9448876
2017,10,23,5.884,9448876
2017,10,24,5.433999999999999,9448876
2017,10,25,4.961,9448876
2017,10,26,4.598000000000001,9448876
2017,10,27,4.351999999999999,9448876
2017,10,28,4.225,9448876
2017,10,29,4.309000000000001,9448876
2017,10,30,4.076,9448876
2017,10,31,4.921,9448876
