Year,Month,Day,net_move,Station
2017,10,01,4.180999999999999,9449746
2017,10,02,4.8790000000000004,9449746
2017,10,03,5.4559999999999995,9449746
2017,10,04,6.004,9449746
2017,10,05,6.469,9449746
2017,10,06,6.803,9449746
2017,10,07,4.6370000000000005,9449746
2017,10,08,6.782,9449746
2017,10,09,6.611,9449746
2017,10,10,6.313000000000001,9449746
2017,10,11,5.956999999999999,9449746
2017,10,12,5.647,9449746
2017,10,13,5.4719999999999995,9449746
2017,10,14,5.144,9449746
2017,10,15,5.395,9449746
2017,10,16,5.705,9449746
2017,10,17,6.037,9449746
2017,10,18,6.279,9449746
2017,10,19,6.386000000000001,9449746
2017,10,20,6.335,9449746
2017,10,21,3.98,9449746
2017,10,22,5.883000000000001,9449746
2017,10,23,5.529999999999999,9449746
2017,10,24,5.141,9449746
2017,10,25,4.769,9449746
2017,10,26,3.9130000000000003,9449746
2017,10,27,4.1739999999999995,9449746
2017,10,28,3.9779999999999998,9449746
2017,10,29,5.013999999999999,9449746
2017,10,30,3.9939999999999998,9449746
2017,10,31,4.693,9449746
