Year,Month,Day,net_move,Station
2017,11,01,4.9110000000000005,TWC1165
2017,11,02,6.859999999999999,TWC1165
2017,11,03,7.622,TWC1165
2017,11,04,8.2,TWC1165
2017,11,05,8.498000000000001,TWC1165
2017,11,06,8.46,TWC1165
2017,11,07,5.12,TWC1165
2017,11,08,7.79,TWC1165
2017,11,09,7.1770000000000005,TWC1165
2017,11,10,6.622,TWC1165
2017,11,11,6.217,TWC1165
2017,11,12,5.337999999999999,TWC1165
2017,11,13,5.751,TWC1165
2017,11,14,6.0089999999999995,TWC1165
2017,11,15,6.351000000000001,TWC1165
2017,11,16,6.6370000000000005,TWC1165
2017,11,17,6.834,TWC1165
2017,11,18,6.922999999999999,TWC1165
2017,11,19,6.8919999999999995,TWC1165
2017,11,20,6.734999999999999,TWC1165
2017,11,21,6.457000000000001,TWC1165
2017,11,22,3.9079999999999995,TWC1165
2017,11,23,5.933,TWC1165
2017,11,24,5.605,TWC1165
2017,11,25,5.281000000000001,TWC1165
2017,11,26,5.01,TWC1165
2017,11,27,4.941000000000001,TWC1165
2017,11,28,4.378,TWC1165
2017,11,29,5.302,TWC1165
2017,11,30,6.121,TWC1165
