Date_Time (LST/LDT), Event, Speed (knots)
2019-01-01 01:24, slack,-
2019-01-01 03:48, ebb,-0.9
2019-01-01 06:54, slack,-
2019-01-01 09:54, flood,1.2
2019-01-01 12:24, slack,-
2019-01-01 15:42, ebb,-1.8
2019-01-01 20:30, slack,-
2019-01-01 23:30, flood,2.0
2019-01-02 02:24, slack,-
2019-01-02 04:54, ebb,-0.8
2019-01-02 08:06, slack,-
2019-01-02 10:48, flood,1.2
2019-01-02 13:06, slack,-
2019-01-02 16:12, ebb,-1.9
2019-01-02 21:12, slack,-
2019-01-03 00:18, flood,2.2
2019-01-03 03:24, slack,-
2019-01-03 07:00, ebb,-0.8
2019-01-03 09:06, slack,-
2019-01-03 11:36, flood,1.1
2019-01-03 13:48, slack,-
2019-01-03 16:54, ebb,-2.0
2019-01-03 21:48, slack,-
2019-01-04 01:00, flood,2.3
2019-01-04 04:18, slack,-
2019-01-04 07:54, ebb,-1.0
2019-01-04 10:00, slack,-
2019-01-04 12:18, flood,1.0
2019-01-04 14:24, slack,-
2019-01-04 17:36, ebb,-2.0
2019-01-04 22:24, slack,-
2019-01-05 01:36, flood,2.4
2019-01-05 05:06, slack,-
2019-01-05 08:42, ebb,-1.0
2019-01-05 10:54, slack,-
2019-01-05 13:00, flood,0.9
2019-01-05 15:00, slack,-
2019-01-05 18:24, ebb,-2.0
2019-01-05 23:00, slack,-
2019-01-06 02:06, flood,2.3
2019-01-06 06:00, slack,-
2019-01-06 09:36, ebb,-1.1
2019-01-06 11:48, slack,-
2019-01-06 13:36, flood,0.8
2019-01-06 15:36, slack,-
2019-01-06 19:18, ebb,-1.9
2019-01-06 23:30, slack,-
2019-01-07 02:30, flood,2.2
2019-01-07 06:36, slack,-
2019-01-07 10:18, ebb,-1.1
2019-01-07 12:36, slack,-
2019-01-07 14:12, flood,0.6
2019-01-07 16:06, slack,-
2019-01-07 20:00, ebb,-1.8
2019-01-08 00:00, slack,-
2019-01-08 02:48, flood,2.1
2019-01-08 07:12, slack,-
2019-01-08 11:00, ebb,-1.1
2019-01-08 13:24, slack,-
2019-01-08 14:48, flood,0.5
2019-01-08 16:48, slack,-
2019-01-08 20:42, ebb,-1.7
