Date_Time (LST/LDT), Event, Speed (knots)
2019-01-01 02:12, slack,-
2019-01-01 05:06, ebb,-1.4
2019-01-01 07:36, slack,-
2019-01-01 10:30, flood,1.5
2019-01-01 13:00, slack,-
2019-01-01 16:36, ebb,-2.2
2019-01-01 20:18, slack,-
2019-01-01 23:48, flood,2.4
2019-01-02 03:18, slack,-
2019-01-02 06:06, ebb,-1.4
2019-01-02 08:36, slack,-
2019-01-02 11:18, flood,1.3
2019-01-02 13:42, slack,-
2019-01-02 17:24, ebb,-2.3
2019-01-02 21:06, slack,-
2019-01-03 00:42, flood,2.6
2019-01-03 04:12, slack,-
2019-01-03 07:06, ebb,-1.5
2019-01-03 09:36, slack,-
2019-01-03 12:12, flood,1.2
2019-01-03 14:18, slack,-
2019-01-03 18:00, ebb,-2.3
2019-01-03 21:48, slack,-
2019-01-04 01:24, flood,2.7
2019-01-04 05:06, slack,-
2019-01-04 08:00, ebb,-1.5
2019-01-04 10:30, slack,-
2019-01-04 12:54, flood,1.1
2019-01-04 15:00, slack,-
2019-01-04 18:42, ebb,-2.3
2019-01-04 22:30, slack,-
2019-01-05 02:06, flood,2.7
2019-01-05 05:54, slack,-
2019-01-05 08:48, ebb,-1.5
2019-01-05 11:24, slack,-
2019-01-05 13:36, flood,0.9
2019-01-05 15:36, slack,-
2019-01-05 19:24, ebb,-2.2
2019-01-05 23:06, slack,-
2019-01-06 02:42, flood,2.7
2019-01-06 06:36, slack,-
2019-01-06 09:36, ebb,-1.5
2019-01-06 12:12, slack,-
2019-01-06 14:18, flood,0.8
2019-01-06 16:18, slack,-
2019-01-06 20:00, ebb,-2.2
2019-01-06 23:42, slack,-
2019-01-07 03:18, flood,2.7
2019-01-07 07:06, slack,-
2019-01-07 10:12, ebb,-1.5
2019-01-07 13:00, slack,-
2019-01-07 15:00, flood,0.7
2019-01-07 17:00, slack,-
2019-01-07 20:42, ebb,-2.0
2019-01-08 00:12, slack,-
2019-01-08 03:48, flood,2.6
2019-01-08 07:36, slack,-
2019-01-08 10:48, ebb,-1.5
2019-01-08 13:42, slack,-
2019-01-08 15:42, flood,0.7
2019-01-08 17:48, slack,-
2019-01-08 21:30, ebb,-1.9
2019-01-09 00:48, slack,-
2019-01-09 04:18, flood,2.4
2019-01-09 08:00, slack,-
2019-01-09 11:12, ebb,-1.5
2019-01-09 14:18, slack,-
2019-01-09 16:18, flood,0.7
2019-01-09 18:42, slack,-
2019-01-09 22:12, ebb,-1.7
2019-01-10 01:30, slack,-
2019-01-10 04:42, flood,2.2
2019-01-10 08:24, slack,-
2019-01-10 11:30, ebb,-1.5
2019-01-10 14:54, slack,-
2019-01-10 16:54, flood,0.8
2019-01-10 19:36, slack,-
2019-01-10 23:00, ebb,-1.5
2019-01-11 02:06, slack,-
2019-01-11 05:12, flood,2.1
2019-01-11 08:48, slack,-
2019-01-11 11:54, ebb,-1.6
2019-01-11 15:24, slack,-
2019-01-11 17:36, flood,0.9
2019-01-11 20:42, slack,-
2019-01-11 23:54, ebb,-1.4
2019-01-12 02:54, slack,-
2019-01-12 05:48, flood,1.9
2019-01-12 09:18, slack,-
2019-01-12 12:24, ebb,-1.7
2019-01-12 16:00, slack,-
2019-01-12 18:18, flood,1.0
