Date_Time (LST/LDT), Event, Speed (knots)
2019-01-01 01:36, slack,-
2019-01-01 05:18, ebb,-1.1
2019-01-01 08:12, slack,-
2019-01-01 10:54, flood,0.7
2019-01-01 13:00, slack,-
2019-01-01 16:18, ebb,-1.1
2019-01-01 20:00, slack,-
2019-01-01 23:42, flood,1.6
2019-01-02 02:36, slack,-
2019-01-02 06:18, ebb,-1.2
2019-01-02 09:12, slack,-
2019-01-02 11:48, flood,0.6
2019-01-02 13:36, slack,-
2019-01-02 17:30, ebb,-1.2
2019-01-02 20:48, slack,-
2019-01-03 00:30, flood,1.8
2019-01-03 03:36, slack,-
2019-01-03 07:12, ebb,-1.3
2019-01-03 10:18, slack,-
2019-01-03 12:24, flood,0.5
2019-01-03 14:12, slack,-
2019-01-03 18:06, ebb,-1.3
2019-01-03 21:36, slack,-
2019-01-04 01:12, flood,1.9
2019-01-04 04:42, slack,-
2019-01-04 08:06, ebb,-1.3
2019-01-04 11:12, slack,-
2019-01-04 13:06, flood,0.4
2019-01-04 14:54, slack,-
2019-01-04 18:42, ebb,-1.4
2019-01-04 22:24, slack,-
2019-01-05 02:00, flood,2.0
2019-01-05 05:36, slack,-
2019-01-05 09:00, ebb,-1.3
2019-01-05 12:00, slack,-
2019-01-05 13:48, flood,0.4
2019-01-05 15:36, slack,-
2019-01-05 19:18, ebb,-1.4
2019-01-05 23:06, slack,-
2019-01-06 03:00, flood,2.0
2019-01-06 06:24, slack,-
2019-01-06 09:48, ebb,-1.3
2019-01-06 12:48, slack,-
2019-01-06 14:48, flood,0.3
2019-01-06 16:24, slack,-
2019-01-06 19:54, ebb,-1.4
2019-01-06 23:48, slack,-
2019-01-07 03:48, flood,2.0
2019-01-07 07:06, slack,-
2019-01-07 10:30, ebb,-1.3
2019-01-07 13:42, slack,-
2019-01-07 15:42, flood,0.4
2019-01-07 17:18, slack,-
2019-01-07 20:42, ebb,-1.4
2019-01-08 00:30, slack,-
2019-01-08 04:24, flood,1.9
2019-01-08 07:48, slack,-
2019-01-08 11:12, ebb,-1.2
2019-01-08 14:30, slack,-
2019-01-08 16:30, flood,0.4
2019-01-08 18:06, slack,-
2019-01-08 21:24, ebb,-1.4
2019-01-09 01:06, slack,-
2019-01-09 04:54, flood,1.8
2019-01-09 08:18, slack,-
2019-01-09 11:48, ebb,-1.1
2019-01-09 15:12, slack,-
2019-01-09 17:12, flood,0.4
2019-01-09 19:00, slack,-
2019-01-09 22:06, ebb,-1.3
2019-01-10 01:48, slack,-
2019-01-10 05:12, flood,1.6
2019-01-10 08:48, slack,-
2019-01-10 12:36, ebb,-1.1
2019-01-10 15:54, slack,-
2019-01-10 18:00, flood,0.5
2019-01-10 20:00, slack,-
2019-01-10 22:42, ebb,-1.2
2019-01-11 02:30, slack,-
2019-01-11 05:42, flood,1.4
2019-01-11 09:18, slack,-
2019-01-11 13:30, ebb,-1.0
2019-01-11 16:36, slack,-
2019-01-11 19:06, flood,0.6
