Date_Time (LST/LDT), Event, Speed (knots)
2019-01-01 00:25, flood,1.0
2019-01-01 03:59, slack,-
2019-01-01 05:46, ebb,-0.9
2019-01-01 09:03, slack,-
2019-01-01 11:07, flood,0.6
2019-01-01 13:53, slack,-
2019-01-01 17:52, ebb,-3.8
2019-01-01 22:27, slack,-
2019-01-02 01:19, flood,1.4
2019-01-02 05:17, slack,-
2019-01-02 07:04, ebb,-0.9
2019-01-02 10:33, slack,-
2019-01-02 12:01, flood,0.4
2019-01-02 14:17, slack,-
2019-01-02 18:28, ebb,-3.9
2019-01-02 22:57, slack,-
2019-01-03 01:55, flood,1.8
2019-01-03 06:23, slack,-
2019-01-03 08:22, ebb,-0.9
2019-01-03 12:03, slack,-
2019-01-03 12:55, flood,0.2
2019-01-03 14:29, slack,-
2019-01-03 19:04, ebb,-4.0
2019-01-03 23:33, slack,-
2019-01-04 02:31, flood,2.0
2019-01-04 07:11, slack,-
2019-01-04 09:28, ebb,-0.9
2019-01-04 13:21, slack,-
2019-01-04 14:35, slack,-
2019-01-04 19:34, ebb,-4.1
2019-01-05 00:09, slack,-
2019-01-05 03:01, flood,2.1
2019-01-05 07:53, slack,-
2019-01-05 10:22, ebb,-0.9
2019-01-05 14:04, slack,-
2019-01-05 20:10, ebb,-4.0
2019-01-06 00:45, slack,-
2019-01-06 03:37, flood,2.1
2019-01-06 08:35, slack,-
2019-01-06 10:52, ebb,-0.8
2019-01-06 14:40, ebb,-0.1
2019-01-06 20:40, ebb,-3.9
2019-01-07 01:21, slack,-
2019-01-07 04:07, flood,2.1
2019-01-07 09:05, slack,-
2019-01-07 11:22, ebb,-0.8
2019-01-07 15:16, ebb,-0.1
2019-01-07 21:16, ebb,-3.7
2019-01-08 01:57, slack,-
2019-01-08 04:43, flood,2.0
2019-01-08 09:29, slack,-
2019-01-08 11:52, ebb,-0.9
2019-01-08 15:52, ebb,-0.2
2019-01-08 21:52, ebb,-3.4
2019-01-09 02:33, slack,-
2019-01-09 05:19, flood,1.9
2019-01-09 09:53, slack,-
2019-01-09 12:22, ebb,-1.0
2019-01-09 16:34, ebb,-0.3
2019-01-09 22:28, ebb,-3.0
2019-01-10 03:03, slack,-
2019-01-10 06:01, flood,1.8
2019-01-10 10:23, slack,-
2019-01-10 12:58, ebb,-1.3
2019-01-10 17:22, ebb,-0.4
2019-01-10 23:04, ebb,-2.7
2019-01-11 03:39, slack,-
2019-01-11 06:43, flood,1.7
2019-01-11 10:53, slack,-
2019-01-11 13:40, ebb,-1.6
2019-01-11 18:22, ebb,-0.4
2019-01-11 23:40, ebb,-2.2
2019-01-12 04:09, slack,-
2019-01-12 07:25, flood,1.6
2019-01-12 11:17, slack,-
2019-01-12 14:22, ebb,-2.0
2019-01-12 19:28, ebb,-0.4
2019-01-13 00:28, ebb,-1.7
2019-01-13 04:45, slack,-
2019-01-13 08:07, flood,1.4
2019-01-13 11:47, slack,-
2019-01-13 15:10, ebb,-2.4
2019-01-13 20:40, ebb,-0.2
2019-01-14 01:34, ebb,-1.1
2019-01-14 05:21, slack,-
2019-01-14 08:49, flood,1.2
2019-01-14 12:11, slack,-
2019-01-14 15:52, ebb,-2.8
2019-01-14 21:15, slack,-
2019-01-14 22:01, flood,0.1
2019-01-14 23:59, slack,-
2019-01-15 02:58, ebb,-0.6
2019-01-15 06:09, slack,-
2019-01-15 09:31, flood,0.9
2019-01-15 12:35, slack,-
2019-01-15 16:28, ebb,-3.2
2019-01-15 21:27, slack,-
2019-01-15 23:13, flood,0.6
2019-01-16 03:11, slack,-
2019-01-16 04:46, ebb,-0.4
2019-01-16 07:03, slack,-
2019-01-16 10:19, flood,0.6
2019-01-16 12:53, slack,-
2019-01-16 17:10, ebb,-3.7
2019-01-16 21:51, slack,-
2019-01-17 00:19, flood,1.0
2019-01-17 04:53, slack,-
2019-01-17 05:58, ebb,-0.4
2019-01-17 08:21, slack,-
2019-01-17 11:13, flood,0.4
2019-01-17 13:17, slack,-
2019-01-17 17:46, ebb,-4.0
2019-01-17 22:27, slack,-
2019-01-18 01:07, flood,1.5
2019-01-18 05:53, slack,-
2019-01-18 07:04, ebb,-0.4
2019-01-18 10:03, slack,-
2019-01-18 12:01, flood,0.3
2019-01-18 13:47, slack,-
2019-01-18 18:28, ebb,-4.4
2019-01-18 22:57, slack,-
2019-01-19 01:49, flood,1.9
2019-01-19 06:35, slack,-
2019-01-19 08:04, ebb,-0.6
2019-01-19 11:39, slack,-
2019-01-19 13:01, flood,0.2
2019-01-19 14:29, slack,-
2019-01-19 19:04, ebb,-4.6
2019-01-19 23:39, slack,-
2019-01-20 02:31, flood,2.2
2019-01-20 07:11, slack,-
2019-01-20 08:58, ebb,-0.8
2019-01-20 12:45, slack,-
2019-01-20 13:55, flood,0.2
2019-01-20 15:23, slack,-
2019-01-20 19:52, ebb,-4.6
2019-01-21 00:21, slack,-
2019-01-21 03:13, flood,2.4
2019-01-21 07:47, slack,-
2019-01-21 09:46, ebb,-1.0
2019-01-21 13:39, slack,-
2019-01-21 14:43, flood,0.3
2019-01-21 16:17, slack,-
2019-01-21 20:34, ebb,-4.5
2019-01-22 01:03, slack,-
2019-01-22 03:55, flood,2.5
2019-01-22 08:23, slack,-
2019-01-22 10:40, ebb,-1.3
2019-01-22 14:33, slack,-
2019-01-22 15:37, flood,0.3
2019-01-22 17:11, slack,-
2019-01-22 21:22, ebb,-4.2
2019-01-23 01:51, slack,-
2019-01-23 04:37, flood,2.4
2019-01-23 08:59, slack,-
2019-01-23 11:28, ebb,-1.6
2019-01-23 15:33, slack,-
2019-01-23 16:37, flood,0.3
2019-01-23 18:05, slack,-
2019-01-23 22:16, ebb,-3.7
2019-01-24 02:33, slack,-
2019-01-24 05:25, flood,2.3
2019-01-24 09:35, slack,-
2019-01-24 12:22, ebb,-2.0
2019-01-24 16:33, slack,-
2019-01-24 17:31, flood,0.3
2019-01-24 19:05, slack,-
2019-01-24 23:10, ebb,-3.1
2019-01-25 03:21, slack,-
2019-01-25 06:13, flood,2.1
2019-01-25 10:11, slack,-
2019-01-25 13:10, ebb,-2.4
2019-01-25 17:39, slack,-
2019-01-25 18:37, flood,0.3
2019-01-25 20:23, slack,-
2019-01-26 00:10, ebb,-2.4
2019-01-26 04:09, slack,-
2019-01-26 07:01, flood,1.8
2019-01-26 10:47, slack,-
2019-01-26 13:58, ebb,-2.7
2019-01-26 18:39, slack,-
2019-01-26 19:43, flood,0.4
2019-01-26 21:59, slack,-
2019-01-27 01:22, ebb,-1.8
2019-01-27 05:03, slack,-
2019-01-27 07:49, flood,1.4
2019-01-27 11:23, slack,-
2019-01-27 14:52, ebb,-3.0
2019-01-27 19:27, slack,-
2019-01-27 21:01, flood,0.5
2019-01-28 00:05, slack,-
2019-01-28 02:46, ebb,-1.2
2019-01-28 06:09, slack,-
2019-01-28 08:43, flood,1.0
2019-01-28 11:53, slack,-
2019-01-28 15:40, ebb,-3.2
2019-01-28 20:21, slack,-
2019-01-28 22:31, flood,0.8
2019-01-29 02:17, slack,-
2019-01-29 04:16, ebb,-0.8
2019-01-29 07:33, slack,-
2019-01-29 09:37, flood,0.6
2019-01-29 12:17, slack,-
2019-01-29 16:28, ebb,-3.4
2019-01-29 21:03, slack,-
2019-01-29 23:55, flood,1.1
2019-01-30 04:11, slack,-
2019-01-30 05:46, ebb,-0.7
