Year,Month,Day,net_move,Station
2020,11,01,4.199,TWC1165
2020,11,02,6.526,TWC1165
2020,11,03,6.3870000000000005,TWC1165
2020,11,04,3.727,TWC1165
2020,11,05,5.962999999999999,TWC1165
2020,11,06,5.037000000000001,TWC1165
2020,11,07,5.314,TWC1165
2020,11,08,6.146,TWC1165
2020,11,09,5.439,TWC1165
2020,11,10,5.165,TWC1165
2020,11,11,5.925,TWC1165
2020,11,12,6.72,TWC1165
2020,11,13,7.602,TWC1165
2020,11,14,8.361,TWC1165
2020,11,15,8.835999999999999,TWC1165
2020,11,16,8.936,TWC1165
2020,11,17,8.652000000000001,TWC1165
2020,11,18,5.006,TWC1165
2020,11,19,7.656000000000001,TWC1165
2020,11,20,6.949,TWC1165
2020,11,21,6.292,TWC1165
2020,11,22,5.691999999999999,TWC1165
2020,11,23,4.8229999999999995,TWC1165
2020,11,24,4.8629999999999995,TWC1165
2020,11,25,5.03,TWC1165
2020,11,26,5.382,TWC1165
2020,11,27,5.801,TWC1165
2020,11,28,6.209,TWC1165
2020,11,29,6.558,TWC1165
2020,11,30,6.792999999999999,TWC1165
