Year,Month,Day,Amplitude,Station
2021,10,01,4.1,PUG1728
2021,10,02,4.7,PUG1728
2021,10,03,5.300000000000001,PUG1728
2021,10,04,5.6,PUG1728
2021,10,05,5.5,PUG1728
2021,10,06,5.1,PUG1728
2021,10,07,4.7,PUG1728
2021,10,08,5.3,PUG1728
2021,10,09,5.9,PUG1728
2021,10,10,6.2,PUG1728
2021,10,11,4.6,PUG1728
2021,10,12,6.2,PUG1728
2021,10,13,5.800000000000001,PUG1728
2021,10,14,5.1,PUG1728
2021,10,15,4.6,PUG1728
2021,10,16,4.7,PUG1728
2021,10,17,4.8,PUG1728
2021,10,18,4.9,PUG1728
2021,10,19,4.5,PUG1728
2021,10,20,4.199999999999999,PUG1728
2021,10,21,4.7,PUG1728
2021,10,22,5,PUG1728
2021,10,23,5.1,PUG1728
2021,10,24,5,PUG1728
2021,10,25,3.4,PUG1728
2021,10,26,4.699999999999999,PUG1728
2021,10,27,4.5,PUG1728
2021,10,28,4.199999999999999,PUG1728
2021,10,29,4,PUG1728
2021,10,30,4.1,PUG1728
2021,10,31,4.4,PUG1728
2021,11,01,4.6,PUG1728
2021,11,02,4.5,PUG1728
2021,11,03,4.7,PUG1728
2021,11,04,5.5,PUG1728
2021,11,05,6.4,PUG1728
2021,11,06,7.1,PUG1728
2021,11,07,7.300000000000001,PUG1728
2021,11,08,7.3,PUG1728
2021,11,09,6.8,PUG1728
2021,11,10,5.2,PUG1728
2021,11,11,5.6,PUG1728
2021,11,12,4.8,PUG1728
2021,11,13,4.2,PUG1728
2021,11,14,3.9000000000000004,PUG1728
2021,11,15,4,PUG1728
2021,11,16,4,PUG1728
2021,11,17,4.9,PUG1728
2021,11,18,5.6,PUG1728
2021,11,19,6,PUG1728
2021,11,20,6.1,PUG1728
2021,11,21,5.9,PUG1728
2021,11,22,5.7,PUG1728
2021,11,23,5.5,PUG1728
2021,11,24,5.3,PUG1728
2021,11,25,3.8,PUG1728
2021,11,26,4.800000000000001,PUG1728
2021,11,27,4.3,PUG1728
2021,11,28,4.1,PUG1728
2021,11,29,4.1,PUG1728
2021,11,30,4.3,PUG1728
2021,12,01,4.5,PUG1728
2021,12,02,6,PUG1728
2021,12,03,7,PUG1728
2021,12,04,7.8,PUG1728
2021,12,05,8,PUG1728
2021,12,06,7.9,PUG1728
2021,12,07,7.4,PUG1728
2021,12,08,6.8,PUG1728
2021,12,09,5.1,PUG1728
2021,12,10,5.5,PUG1728
2021,12,11,4.5,PUG1728
2021,12,12,3.7,PUG1728
2021,12,13,3.6,PUG1728
2021,12,14,3.9,PUG1728
2021,12,15,5,PUG1728
2021,12,16,5.9,PUG1728
2021,12,17,6.3,PUG1728
2021,12,18,6.4,PUG1728
2021,12,19,6.4,PUG1728
2021,12,20,6.3,PUG1728
2021,12,21,6.199999999999999,PUG1728
2021,12,22,6.1,PUG1728
2021,12,23,5.9,PUG1728
2021,12,24,4.2,PUG1728
2021,12,25,5.3,PUG1728
2021,12,26,4.5,PUG1728
2021,12,27,4,PUG1728
2021,12,28,4,PUG1728
2021,12,29,4.2,PUG1728
2021,12,30,5.6,PUG1728
2021,12,31,6.800000000000001,PUG1728
