Year,Month,Day,net_move,Station
2019,10,01,4.246,9449880
2019,10,02,6.056,9449880
2019,10,03,5.606999999999999,9449880
2019,10,04,5.15,9449880
2019,10,05,4.8100000000000005,9449880
2019,10,06,3.927,9449880
2019,10,07,5.0040000000000004,9449880
2019,10,08,4.133,9449880
2019,10,09,4.2170000000000005,9449880
2019,10,10,4.344,9449880
2019,10,11,4.511,9449880
2019,10,12,4.697,9449880
2019,10,13,4.891,9449880
2019,10,14,5.071,9449880
2019,10,15,5.2,9449880
2019,10,16,3.2190000000000007,9449880
2019,10,17,5.129,9449880
2019,10,18,5.046000000000001,9449880
2019,10,19,4.922000000000001,9449880
2019,10,20,4.478,9449880
2019,10,21,4.711,9449880
2019,10,22,5.337000000000001,9449880
2019,10,23,5.009,9449880
2019,10,24,4.774,9449880
2019,10,25,5.476,9449880
2019,10,26,6.029,9449880
2019,10,27,6.516000000000001,9449880
2019,10,28,6.843,9449880
2019,10,29,6.936999999999999,9449880
2019,10,30,4.114,9449880
2019,10,31,6.520999999999999,9449880
