Year,Month,Day,net_move,Station
2019,10,01,2.3569999999999998,9449932
2019,10,02,6.384,9449932
2019,10,03,5.872999999999999,9449932
2019,10,04,5.3549999999999995,9449932
2019,10,05,5.002,9449932
2019,10,06,4.745,9449932
2019,10,07,4.538,9449932
2019,10,08,4.183,9449932
2019,10,09,4.311,9449932
2019,10,10,4.433,9449932
2019,10,11,4.611,9449932
2019,10,12,4.834,9449932
2019,10,13,5.087000000000001,9449932
2019,10,14,5.317,9449932
2019,10,15,5.4510000000000005,9449932
2019,10,16,5.459,9449932
2019,10,17,3.1270000000000007,9449932
2019,10,18,5.117000000000001,9449932
2019,10,19,4.927,9449932
2019,10,20,4.579,9449932
2019,10,21,4.813,9449932
2019,10,22,5.452999999999999,9449932
2019,10,23,5.054,9449932
2019,10,24,4.818,9449932
2019,10,25,5.595,9449932
2019,10,26,6.237,9449932
2019,10,27,6.837,9449932
2019,10,28,7.245000000000001,9449932
2019,10,29,7.37,9449932
2019,10,30,7.177000000000001,9449932
2019,10,31,4.024,9449932
