InputID,TargetID,Distance
1,"9449746",12425.9953140146
2,"9449834",11902.4749590964
3,"9449834",10940.1360615334
4,"9449834",9985.28099579796
5,"9449834",9040.28145095384
6,"9449834",8108.58393845907
7,"9449834",7195.3575928363
8,"9449834",6308.62908385117
9,"9449834",5461.32068034373
10,"9449834",4674.91591973348
11,"9449834",3985.63003383882
12,"9449834",3452.13662877666
13,"9449834",3154.49527941146
14,"9449834",3160.06744529939
15,"9449828",2581.15587007353
16,"9449828",2099.74520161
17,"9449828",2038.89335719175
18,"9449828",2430.39796258154
19,"9449828",3107.76033748661
20,"9449828",3925.69819244322
21,"9449828",4813.06868901782
22,"9449828",5737.74747059866
23,"9449828",6684.26912920328
24,"9449828",7644.52441103157
25,"9449828",8613.9215850953
26,"9449856",8525.0291562244
27,"9449856",8420.46384658708
28,"9449856",8434.09130147768
29,"9449856",8565.34740594123
30,"9449856",8808.97563284558
31,"9449856",9156.01019158646
32,"9449856",9595.23782767104
33,"9449856",10114.6552449122
34,"9449856",10702.5935123257
35,"9449856",11348.4078385194
36,"9449856",12042.7907256312
37,"9449856",12777.8265705088
38,"9449746",11482.1251178155
39,"9449746",11176.8039437029
40,"9449834",10698.1405479758
41,"9449834",9719.54033051291
42,"9449834",8745.87391653242
43,"9449834",7778.99416161116
44,"9449834",6821.78737897946
45,"9449834",5878.98028544202
46,"9449834",4958.79306124595
47,"9449834",4076.57225214226
48,"9449834",3263.25716188064
49,"9449834",2584.73336287901
50,"9449834",2171.27591169982
51,"9449834",2179.36341328577
52,"9449828",1911.30691842502
53,"9449828",1183.0712880031
54,"9449828",1071.36072311273
55,"9449828",1702.22281619821
56,"9449828",2578.54684334787
57,"9449828",3521.6243015225
58,"9449828",4489.58396838463
59,"9449828",5469.23059374876
60,"9449828",6455.24553802962
61,"9449828",7445.09900640776
62,"9449856",7785.91392387333
63,"9449856",7539.69153456843
64,"9449856",7421.2557708856
65,"9449856",7436.7144607936
66,"9449856",7585.24902029245
67,"9449856",7859.31799854526
68,"9449856",8246.41449835204
69,"9449856",8731.51880997531
70,"9449856",9299.30563823137
71,"9449856",9935.60999392614
72,"9449856",10628.1325981311
73,"9449856",11366.6026177307
74,"9449856",12142.6398937452
75,"9449746",10548.6785611226
76,"9449746",10215.4964111124
77,"9449746",9971.94625693505
78,"9449834",9551.68471723272
79,"9449834",8558.94396169852
80,"9449834",7568.22016274287
81,"9449834",6580.42437949032
82,"9449834",5597.10706408733
83,"9449834",4621.12798455747
84,"9449834",3658.36494934836
85,"9449834",2722.87316004184
86,"9449834",1856.35025758962
87,"9449834",1216.39968846731
88,"9449834",1230.77780910821
89,"9449828",1626.47283108135
90,"9449828",626.080420717464
91,"9449828",374.34307796616
92,"9449828",1374.72979550947
93,"9449828",2375.12620824828
94,"9449828",3375.52369615968
95,"9449828",4375.92152184418
96,"9449828",5376.31949674274
97,"9449828",6376.71755062596
98,"9449856",7250.37754840216
99,"9449856",6840.53140496924
100,"9449856",6558.91467491254
101,"9449856",6422.41777102673
102,"9449856",6440.27443831055
103,"9449856",6611.23408739203
104,"9449856",6923.96519186401
105,"9449856",7360.41903021636
106,"9449856",7900.11639944975
107,"9449856",8523.46798267731
108,"9449856",9213.51020408938
