route,grid_id
1,460
1,461
1,497
1,498
1,499
1,502
1,503
1,534
1,536
1,537
1,538
1,539
1,540
1,570
1,571
1,574
1,575
1,576
1,607
1,608
1,612
1,613
1,644
1,649
1,650
1,681
1,687
1,688
1,718
1,719
1,723
1,724
1,725
1,756
1,759
1,760
1,761
1,793
1,795
1,796
1,797
1,830
1,831
1,832
1,833
1,868
1,869
