point,longitude,latitude,grid_id,left_bound,top_bound,right_bound,bottom_bound
2955,-123.1935436,48.57808969,17,484958.5416,5381096.821,485958.5416,5380096.821
3026,-123.2002764,48.58258958,17,484958.5416,5381096.821,485958.5416,5380096.821
3027,-123.1935436,48.58258958,17,484958.5416,5381096.821,485958.5416,5380096.821
2810,-123.2002764,48.5690899,18,484958.5416,5380096.821,485958.5416,5379096.821
2811,-123.1935436,48.5690899,18,484958.5416,5380096.821,485958.5416,5379096.821
2882,-123.2002764,48.57358979,18,484958.5416,5380096.821,485958.5416,5379096.821
2883,-123.1935436,48.57358979,18,484958.5416,5380096.821,485958.5416,5379096.821
2666,-123.2002764,48.56009011,19,484958.5416,5379096.821,485958.5416,5378096.821
2667,-123.1935436,48.56009011,19,484958.5416,5379096.821,485958.5416,5378096.821
2738,-123.2002764,48.56459001,19,484958.5416,5379096.821,485958.5416,5378096.821
2739,-123.1935436,48.56459001,19,484958.5416,5379096.821,485958.5416,5378096.821
2522,-123.2002764,48.55109033,20,484958.5416,5378096.821,485958.5416,5377096.821
2523,-123.1935436,48.55109033,20,484958.5416,5378096.821,485958.5416,5377096.821
2594,-123.2002764,48.55559022,20,484958.5416,5378096.821,485958.5416,5377096.821
2595,-123.1935436,48.55559022,20,484958.5416,5378096.821,485958.5416,5377096.821
2378,-123.2002764,48.54209054,21,484958.5416,5377096.821,485958.5416,5376096.821
2379,-123.1935436,48.54209054,21,484958.5416,5377096.821,485958.5416,5376096.821
2450,-123.2002764,48.54659044,21,484958.5416,5377096.821,485958.5416,5376096.821
2451,-123.1935436,48.54659044,21,484958.5416,5377096.821,485958.5416,5376096.821
2234,-123.2002764,48.53309076,22,484958.5416,5376096.821,485958.5416,5375096.821
2235,-123.1935436,48.53309076,22,484958.5416,5376096.821,485958.5416,5375096.821
2306,-123.2002764,48.53759065,22,484958.5416,5376096.821,485958.5416,5375096.821
2307,-123.1935436,48.53759065,22,484958.5416,5376096.821,485958.5416,5375096.821
2090,-123.2002764,48.52409097,23,484958.5416,5375096.821,485958.5416,5374096.821
2091,-123.1935436,48.52409097,23,484958.5416,5375096.821,485958.5416,5374096.821
2162,-123.2002764,48.52859086,23,484958.5416,5375096.821,485958.5416,5374096.821
2163,-123.1935436,48.52859086,23,484958.5416,5375096.821,485958.5416,5374096.821
1946,-123.2002764,48.51509118,24,484958.5416,5374096.821,485958.5416,5373096.821
1947,-123.1935436,48.51509118,24,484958.5416,5374096.821,485958.5416,5373096.821
2018,-123.2002764,48.51959108,24,484958.5416,5374096.821,485958.5416,5373096.821
2019,-123.1935436,48.51959108,24,484958.5416,5374096.821,485958.5416,5373096.821
1802,-123.2002764,48.5060914,25,484958.5416,5373096.821,485958.5416,5372096.821
1803,-123.1935436,48.5060914,25,484958.5416,5373096.821,485958.5416,5372096.821
1874,-123.2002764,48.51059129,25,484958.5416,5373096.821,485958.5416,5372096.821
1875,-123.1935436,48.51059129,25,484958.5416,5373096.821,485958.5416,5372096.821
1658,-123.2002764,48.49709161,26,484958.5416,5372096.821,485958.5416,5371096.821
1659,-123.1935436,48.49709161,26,484958.5416,5372096.821,485958.5416,5371096.821
1730,-123.2002764,48.50159151,26,484958.5416,5372096.821,485958.5416,5371096.821
1731,-123.1935436,48.50159151,26,484958.5416,5372096.821,485958.5416,5371096.821
1514,-123.2002764,48.48809183,27,484958.5416,5371096.821,485958.5416,5370096.821
1515,-123.1935436,48.48809183,27,484958.5416,5371096.821,485958.5416,5370096.821
1586,-123.2002764,48.49259172,27,484958.5416,5371096.821,485958.5416,5370096.821
1587,-123.1935436,48.49259172,27,484958.5416,5371096.821,485958.5416,5370096.821
1370,-123.2002764,48.47909204,28,484958.5416,5370096.821,485958.5416,5369096.821
1371,-123.1935436,48.47909204,28,484958.5416,5370096.821,485958.5416,5369096.821
1442,-123.2002764,48.48359193,28,484958.5416,5370096.821,485958.5416,5369096.821
1443,-123.1935436,48.48359193,28,484958.5416,5370096.821,485958.5416,5369096.821
1226,-123.2002764,48.47009226,29,484958.5416,5369096.821,485958.5416,5368096.821
1227,-123.1935436,48.47009226,29,484958.5416,5369096.821,485958.5416,5368096.821
1298,-123.2002764,48.47459215,29,484958.5416,5369096.821,485958.5416,5368096.821
1299,-123.1935436,48.47459215,29,484958.5416,5369096.821,485958.5416,5368096.821
1082,-123.2002764,48.46109247,30,484958.5416,5368096.821,485958.5416,5367096.821
1083,-123.1935436,48.46109247,30,484958.5416,5368096.821,485958.5416,5367096.821
1154,-123.2002764,48.46559236,30,484958.5416,5368096.821,485958.5416,5367096.821
1155,-123.1935436,48.46559236,30,484958.5416,5368096.821,485958.5416,5367096.821
938,-123.2002764,48.45209268,31,484958.5416,5367096.821,485958.5416,5366096.821
939,-123.1935436,48.45209268,31,484958.5416,5367096.821,485958.5416,5366096.821
1010,-123.2002764,48.45659258,31,484958.5416,5367096.821,485958.5416,5366096.821
1011,-123.1935436,48.45659258,31,484958.5416,5367096.821,485958.5416,5366096.821
794,-123.2002764,48.4430929,32,484958.5416,5366096.821,485958.5416,5365096.821
795,-123.1935436,48.4430929,32,484958.5416,5366096.821,485958.5416,5365096.821
866,-123.2002764,48.44759279,32,484958.5416,5366096.821,485958.5416,5365096.821
867,-123.1935436,48.44759279,32,484958.5416,5366096.821,485958.5416,5365096.821
650,-123.2002764,48.43409311,33,484958.5416,5365096.821,485958.5416,5364096.821
651,-123.1935436,48.43409311,33,484958.5416,5365096.821,485958.5416,5364096.821
722,-123.2002764,48.438593,33,484958.5416,5365096.821,485958.5416,5364096.821
723,-123.1935436,48.438593,33,484958.5416,5365096.821,485958.5416,5364096.821
506,-123.2002764,48.42509333,34,484958.5416,5364096.821,485958.5416,5363096.821
507,-123.1935436,48.42509333,34,484958.5416,5364096.821,485958.5416,5363096.821
578,-123.2002764,48.42959322,34,484958.5416,5364096.821,485958.5416,5363096.821
579,-123.1935436,48.42959322,34,484958.5416,5364096.821,485958.5416,5363096.821
362,-123.2002764,48.41609354,35,484958.5416,5363096.821,485958.5416,5362096.821
363,-123.1935436,48.41609354,35,484958.5416,5363096.821,485958.5416,5362096.821
434,-123.2002764,48.42059343,35,484958.5416,5363096.821,485958.5416,5362096.821
435,-123.1935436,48.42059343,35,484958.5416,5363096.821,485958.5416,5362096.821
218,-123.2002764,48.40709375,36,484958.5416,5362096.821,485958.5416,5361096.821
219,-123.1935436,48.40709375,36,484958.5416,5362096.821,485958.5416,5361096.821
290,-123.2002764,48.41159365,36,484958.5416,5362096.821,485958.5416,5361096.821
291,-123.1935436,48.41159365,36,484958.5416,5362096.821,485958.5416,5361096.821
74,-123.2002764,48.39809397,37,484958.5416,5361096.821,485958.5416,5360096.821
75,-123.1935436,48.39809397,37,484958.5416,5361096.821,485958.5416,5360096.821
146,-123.2002764,48.40259386,37,484958.5416,5361096.821,485958.5416,5360096.821
147,-123.1935436,48.40259386,37,484958.5416,5361096.821,485958.5416,5360096.821
5260,-123.1868108,48.72208626,38,485958.5416,5397096.821,486958.5416,5396096.821
5261,-123.180078,48.72208626,38,485958.5416,5397096.821,486958.5416,5396096.821
5332,-123.1868108,48.72658616,38,485958.5416,5397096.821,486958.5416,5396096.821
5333,-123.180078,48.72658616,38,485958.5416,5397096.821,486958.5416,5396096.821
5116,-123.1868108,48.71308648,39,485958.5416,5396096.821,486958.5416,5395096.821
5117,-123.180078,48.71308648,39,485958.5416,5396096.821,486958.5416,5395096.821
5188,-123.1868108,48.71758637,39,485958.5416,5396096.821,486958.5416,5395096.821
5189,-123.180078,48.71758637,39,485958.5416,5396096.821,486958.5416,5395096.821
4972,-123.1868108,48.70408669,40,485958.5416,5395096.821,486958.5416,5394096.821
4973,-123.180078,48.70408669,40,485958.5416,5395096.821,486958.5416,5394096.821
5044,-123.1868108,48.70858658,40,485958.5416,5395096.821,486958.5416,5394096.821
5045,-123.180078,48.70858658,40,485958.5416,5395096.821,486958.5416,5394096.821
4828,-123.1868108,48.6950869,41,485958.5416,5394096.821,486958.5416,5393096.821
4829,-123.180078,48.6950869,41,485958.5416,5394096.821,486958.5416,5393096.821
4900,-123.1868108,48.6995868,41,485958.5416,5394096.821,486958.5416,5393096.821
4901,-123.180078,48.6995868,41,485958.5416,5394096.821,486958.5416,5393096.821
4684,-123.1868108,48.68608712,42,485958.5416,5393096.821,486958.5416,5392096.821
4685,-123.180078,48.68608712,42,485958.5416,5393096.821,486958.5416,5392096.821
4756,-123.1868108,48.69058701,42,485958.5416,5393096.821,486958.5416,5392096.821
4757,-123.180078,48.69058701,42,485958.5416,5393096.821,486958.5416,5392096.821
4540,-123.1868108,48.67708733,43,485958.5416,5392096.821,486958.5416,5391096.821
4541,-123.180078,48.67708733,43,485958.5416,5392096.821,486958.5416,5391096.821
4612,-123.1868108,48.68158723,43,485958.5416,5392096.821,486958.5416,5391096.821
4613,-123.180078,48.68158723,43,485958.5416,5392096.821,486958.5416,5391096.821
