grid_id,left_bound,top_bound,right_bound,bottom_bound,latitude,longitude,lat_deg,long_deg,name,number,Direction,length(m),EW Joined layer_left,EW Joined layer_top,EW Joined layer_right,EW Joined layer_bottom,EW Joined layer_latitude,EW Joined layer_longitude,EW Joined layer_lat_deg,EW Joined layer_long_deg,EW Joined_name,EW Joined layer_number,EW Joined layer_Direction,EW Joined_length(m)
26,484958.5416,5372096.821,485958.5416,5371096.821,5371597,485459,48.497324,-123.196837,Haro Strait,61,NS,49636.0321,484958.5416,5372096.821,485958.5416,5371096.821,5371597,485459,48.497324,-123.196837,Haro Strait,74,EW,14109.5066
27,484958.5416,5371096.821,485958.5416,5370096.821,5370597,485459,48.488328,-123.196802,Haro Strait,61,NS,49636.0321,484958.5416,5371096.821,485958.5416,5370096.821,5370597,485459,48.488328,-123.196802,Haro Strait,75,EW,14784.4771
28,484958.5416,5370096.821,485958.5416,5369096.821,5369597,485459,48.479331,-123.196767,Haro Strait,61,NS,49636.0321,484958.5416,5370096.821,485958.5416,5369096.821,5369597,485459,48.479331,-123.196767,Haro Strait,76,EW,17415.5094
29,484958.5416,5369096.821,485958.5416,5368096.821,5368597,485459,48.470335,-123.196732,Haro Strait,61,NS,49636.0321,484958.5416,5369096.821,485958.5416,5368096.821,5368597,485459,48.470335,-123.196732,Haro Strait,77,EW,17174.6275
30,484958.5416,5368096.821,485958.5416,5367096.821,5367597,485459,48.461338,-123.196698,Haro Strait,61,NS,49636.0321,484958.5416,5368096.821,485958.5416,5367096.821,5367597,485459,48.461338,-123.196698,Haro Strait,78,EW,17270.8059
31,484958.5416,5367096.821,485958.5416,5366096.821,5366597,485459,48.452342,-123.196663,Haro Strait,61,NS,49636.0321,484958.5416,5367096.821,485958.5416,5366096.821,5366597,485459,48.452342,-123.196663,Haro Strait,79,EW,21826.6995
32,484958.5416,5366096.821,485958.5416,5365096.821,5365597,485459,48.443346,-123.196628,Haro Strait,61,NS,49636.0321,484958.5416,5366096.821,485958.5416,5365096.821,5365597,485459,48.443346,-123.196628,Strait of Juan de Fuca,80,EW,25011.8293
33,484958.5416,5365096.821,485958.5416,5364096.821,5364597,485459,48.434349,-123.196593,Haro Strait,61,NS,49636.0321,484958.5416,5365096.821,485958.5416,5364096.821,5364597,485459,48.434349,-123.196593,Strait of Juan de Fuca,81,EW,25390.8147
34,484958.5416,5364096.821,485958.5416,5363096.821,5363597,485459,48.425353,-123.196559,Haro Strait,61,NS,49636.0321,484958.5416,5364096.821,485958.5416,5363096.821,5363597,485459,48.425353,-123.196559,Strait of Juan de Fuca,82,EW,25305.7346
35,484958.5416,5363096.821,485958.5416,5362096.821,5362597,485459,48.416356,-123.196524,Haro Strait,61,NS,49636.0321,484958.5416,5363096.821,485958.5416,5362096.821,5362597,485459,48.416356,-123.196524,Strait of Juan de Fuca,83,EW,46639.2741
36,484958.5416,5362096.821,485958.5416,5361096.821,5361597,485459,48.40736,-123.196489,Haro Strait,61,NS,49636.0321,484958.5416,5362096.821,485958.5416,5361096.821,5361597,485459,48.40736,-123.196489,Strait of Juan de Fuca,84,EW,48031.9372
37,484958.5416,5361096.821,485958.5416,5360096.821,5360597,485459,48.398363,-123.196455,Haro Strait,61,NS,49636.0321,484958.5416,5361096.821,485958.5416,5360096.821,5360597,485459,48.398363,-123.196455,Strait of Juan de Fuca,85,EW,47413.0115
38,485958.5416,5397096.821,486958.5416,5396096.821,5396597,486459,48.722251,-123.184116,Boundary Pass,2,NS,5752.5306,485958.5416,5397096.821,486958.5416,5396096.821,5396597,486459,48.722251,-123.184116,Strait of Georgia,1,EW,42832.6242
