Date_Time (LST/LDT), Event, Speed (knots)
2021-01-01 02:09, slack,-
2021-01-01 05:32, flood,1.3
2021-01-01 08:48, slack,-
2021-01-01 11:53, ebb,-0.3
2021-01-01 15:53, ebb,-0.1
2021-01-01 21:59, ebb,-1.5
2021-01-02 02:51, slack,-
2021-01-02 06:20, flood,1.3
2021-01-02 09:24, slack,-
2021-01-02 12:53, ebb,-0.4
2021-01-02 16:47, ebb,-0.2
2021-01-02 22:41, ebb,-1.4
2021-01-03 03:33, slack,-
2021-01-03 07:02, flood,1.2
2021-01-03 10:00, slack,-
2021-01-03 13:35, ebb,-0.5
2021-01-03 17:47, ebb,-0.2
2021-01-03 23:29, ebb,-1.2
2021-01-04 04:15, slack,-
2021-01-04 07:50, flood,1.1
2021-01-04 10:30, slack,-
2021-01-04 14:23, ebb,-0.7
2021-01-04 18:59, ebb,-0.2
2021-01-05 00:23, ebb,-0.9
2021-01-05 04:57, slack,-
2021-01-05 08:32, flood,0.9
2021-01-05 10:54, slack,-
2021-01-05 15:05, ebb,-0.9
2021-01-05 20:17, slack,-
2021-01-06 01:29, ebb,-0.6
2021-01-06 05:39, slack,-
2021-01-06 09:14, flood,0.8
2021-01-06 11:12, slack,-
2021-01-06 15:41, ebb,-1.1
2021-01-06 21:03, slack,-
2021-01-06 22:38, flood,0.2
2021-01-06 23:24, slack,-
2021-01-07 02:59, ebb,-0.4
2021-01-07 06:27, slack,-
2021-01-07 10:02, flood,0.6
2021-01-07 11:30, slack,-
2021-01-07 16:23, ebb,-1.4
2021-01-07 21:27, slack,-
2021-01-07 23:56, flood,0.4
2021-01-08 02:06, slack,-
2021-01-08 04:41, ebb,-0.2
2021-01-08 07:27, slack,-
2021-01-08 10:50, flood,0.4
2021-01-08 11:48, slack,-
2021-01-08 17:05, ebb,-1.6
2021-01-08 21:57, slack,-
2021-01-09 01:02, flood,0.8
2021-01-09 03:48, slack,-
2021-01-09 05:59, ebb,-0.2
2021-01-09 08:51, slack,-
2021-01-09 11:44, flood,0.3
2021-01-09 12:12, slack,-
2021-01-09 17:41, ebb,-1.7
2021-01-09 22:33, slack,-
2021-01-10 01:56, flood,1.0
2021-01-10 04:54, slack,-
2021-01-10 07:05, ebb,-0.3
2021-01-10 10:45, slack,-
2021-01-10 12:44, flood,0.2
2021-01-10 12:48, slack,-
2021-01-10 18:23, ebb,-1.8
2021-01-10 23:09, slack,-
