Date_Time (LST/LDT), Event, Speed (knots)
2021-01-01 02:18, slack,-
2021-01-01 05:26, flood,1.3
2021-01-01 09:14, slack,-
2021-01-01 12:14, ebb,-0.3
2021-01-01 16:14, ebb,-0.1
2021-01-01 22:20, ebb,-1.5
2021-01-02 03:00, slack,-
2021-01-02 06:14, flood,1.3
2021-01-02 09:50, slack,-
2021-01-02 13:14, ebb,-0.4
2021-01-02 17:08, ebb,-0.2
2021-01-02 23:02, ebb,-1.4
2021-01-03 03:42, slack,-
2021-01-03 06:56, flood,1.2
2021-01-03 10:26, slack,-
2021-01-03 13:56, ebb,-0.5
2021-01-03 18:08, ebb,-0.2
2021-01-03 23:50, ebb,-1.2
2021-01-04 04:24, slack,-
2021-01-04 07:44, flood,1.1
2021-01-04 10:56, slack,-
2021-01-04 14:44, ebb,-0.7
2021-01-04 19:20, ebb,-0.2
2021-01-05 00:44, ebb,-0.9
2021-01-05 05:06, slack,-
2021-01-05 08:26, flood,0.9
2021-01-05 11:20, slack,-
2021-01-05 15:26, ebb,-0.9
2021-01-05 20:38, slack,-
2021-01-06 01:50, ebb,-0.6
2021-01-06 05:48, slack,-
2021-01-06 09:08, flood,0.8
2021-01-06 11:38, slack,-
2021-01-06 16:02, ebb,-1.1
2021-01-06 21:12, slack,-
2021-01-06 22:32, flood,0.2
2021-01-06 23:50, slack,-
2021-01-07 03:20, ebb,-0.4
2021-01-07 06:36, slack,-
2021-01-07 09:56, flood,0.6
2021-01-07 11:56, slack,-
2021-01-07 16:44, ebb,-1.4
2021-01-07 21:36, slack,-
2021-01-07 23:50, flood,0.4
2021-01-08 02:32, slack,-
2021-01-08 05:02, ebb,-0.2
2021-01-08 07:36, slack,-
2021-01-08 10:44, flood,0.4
2021-01-08 12:14, slack,-
2021-01-08 17:26, ebb,-1.6
2021-01-08 22:06, slack,-
2021-01-09 00:56, flood,0.8
2021-01-09 04:14, slack,-
2021-01-09 06:20, ebb,-0.2
2021-01-09 09:00, slack,-
2021-01-09 11:38, flood,0.3
2021-01-09 12:38, slack,-
2021-01-09 18:02, ebb,-1.7
2021-01-09 22:42, slack,-
2021-01-10 01:50, flood,1.0
2021-01-10 05:20, slack,-
2021-01-10 07:26, ebb,-0.3
2021-01-10 10:54, slack,-
2021-01-10 12:38, flood,0.2
2021-01-10 13:14, slack,-
2021-01-10 18:44, ebb,-1.8
2021-01-10 23:18, slack,-
2021-01-11 02:32, flood,1.3
2021-01-11 06:08, slack,-
2021-01-11 08:32, ebb,-0.3
2021-01-11 12:30, slack,-
2021-01-11 13:50, slack,-
2021-01-11 19:26, ebb,-1.9
2021-01-12 00:00, slack,-
2021-01-12 03:14, flood,1.4
2021-01-12 06:44, slack,-
2021-01-12 09:32, ebb,-0.4
2021-01-12 13:42, slack,-
2021-01-12 20:08, ebb,-1.8
2021-01-13 00:42, slack,-
2021-01-13 03:56, flood,1.5
2021-01-13 07:26, slack,-
2021-01-13 10:26, ebb,-0.5
2021-01-13 14:42, slack,-
2021-01-13 20:56, ebb,-1.7
2021-01-14 01:30, slack,-
2021-01-14 04:38, flood,1.5
2021-01-14 08:08, slack,-
2021-01-14 11:20, ebb,-0.5
2021-01-14 15:42, slack,-
2021-01-14 21:44, ebb,-1.6
2021-01-15 02:18, slack,-
2021-01-15 05:20, flood,1.4
2021-01-15 08:50, slack,-
2021-01-15 12:08, ebb,-0.6
2021-01-15 16:26, slack,-
2021-01-15 22:32, ebb,-1.4
2021-01-16 03:00, slack,-
2021-01-16 06:08, flood,1.3
2021-01-16 09:32, slack,-
2021-01-16 12:56, ebb,-0.6
2021-01-16 17:20, slack,-
2021-01-16 23:20, ebb,-1.2
2021-01-17 03:48, slack,-
2021-01-17 06:50, flood,1.1
2021-01-17 10:08, slack,-
2021-01-17 13:38, ebb,-0.7
2021-01-17 18:14, slack,-
2021-01-18 00:08, ebb,-1.0
2021-01-18 04:30, slack,-
2021-01-18 07:38, flood,0.9
2021-01-18 10:38, slack,-
2021-01-18 14:20, ebb,-0.8
2021-01-18 19:14, ebb,-0.1
2021-01-19 00:50, ebb,-0.7
2021-01-19 05:12, slack,-
2021-01-19 08:20, flood,0.8
2021-01-19 10:56, slack,-
2021-01-19 15:02, ebb,-0.9
2021-01-19 20:26, slack,-
2021-01-20 01:44, ebb,-0.4
