Date_Time (LST/LDT), Event, Speed (knots)
2021-01-01 01:51, slack,-
2021-01-01 04:43, flood,2.3
2021-01-01 09:41, slack,-
2021-01-01 11:52, ebb,-0.9
2021-01-01 15:52, ebb,-0.3
2021-01-01 21:58, ebb,-3.9
2021-01-02 02:33, slack,-
2021-01-02 05:31, flood,2.2
2021-01-02 10:17, slack,-
2021-01-02 12:52, ebb,-1.1
2021-01-02 16:46, ebb,-0.4
2021-01-02 22:40, ebb,-3.5
2021-01-03 03:15, slack,-
2021-01-03 06:13, flood,2.1
2021-01-03 10:53, slack,-
2021-01-03 13:34, ebb,-1.4
2021-01-03 17:46, ebb,-0.5
2021-01-03 23:28, ebb,-2.9
2021-01-04 03:57, slack,-
2021-01-04 07:01, flood,1.9
2021-01-04 11:23, slack,-
2021-01-04 14:22, ebb,-1.8
2021-01-04 18:58, ebb,-0.4
2021-01-05 00:22, ebb,-2.3
2021-01-05 04:39, slack,-
2021-01-05 07:43, flood,1.7
2021-01-05 11:47, slack,-
2021-01-05 15:04, ebb,-2.3
2021-01-05 20:16, ebb,-0.1
2021-01-06 01:28, ebb,-1.6
2021-01-06 05:21, slack,-
2021-01-06 08:25, flood,1.4
2021-01-06 12:05, slack,-
2021-01-06 15:40, ebb,-2.8
2021-01-06 20:45, slack,-
2021-01-06 21:49, flood,0.3
2021-01-07 00:17, slack,-
2021-01-07 02:58, ebb,-0.9
2021-01-07 06:09, slack,-
2021-01-07 09:13, flood,1.1
2021-01-07 12:23, slack,-
2021-01-07 16:22, ebb,-3.4
2021-01-07 21:09, slack,-
2021-01-07 23:07, flood,0.8
2021-01-08 02:59, slack,-
2021-01-08 04:40, ebb,-0.6
2021-01-08 07:09, slack,-
2021-01-08 10:01, flood,0.7
2021-01-08 12:41, slack,-
2021-01-08 17:04, ebb,-3.9
2021-01-08 21:39, slack,-
2021-01-09 00:13, flood,1.3
2021-01-09 04:41, slack,-
2021-01-09 05:58, ebb,-0.5
2021-01-09 08:33, slack,-
2021-01-09 10:55, flood,0.5
2021-01-09 13:05, slack,-
2021-01-09 17:40, ebb,-4.3
2021-01-09 22:15, slack,-
2021-01-10 01:07, flood,1.8
2021-01-10 05:47, slack,-
2021-01-10 07:04, ebb,-0.6
2021-01-10 10:27, slack,-
2021-01-10 11:55, flood,0.3
2021-01-10 13:41, slack,-
2021-01-10 18:22, ebb,-4.6
2021-01-10 22:51, slack,-
2021-01-11 01:49, flood,2.2
2021-01-11 06:35, slack,-
2021-01-11 08:10, ebb,-0.8
2021-01-11 12:03, slack,-
2021-01-11 12:55, flood,0.2
2021-01-11 14:17, slack,-
2021-01-11 19:04, ebb,-4.6
2021-01-11 23:33, slack,-
2021-01-12 02:31, flood,2.5
2021-01-12 07:11, slack,-
2021-01-12 09:10, ebb,-1.0
2021-01-12 13:15, slack,-
2021-01-12 13:49, flood,0.1
2021-01-12 14:59, slack,-
2021-01-12 19:46, ebb,-4.6
2021-01-13 00:15, slack,-
2021-01-13 03:13, flood,2.6
2021-01-13 07:53, slack,-
2021-01-13 10:04, ebb,-1.2
2021-01-13 14:15, slack,-
2021-01-13 15:41, slack,-
2021-01-13 20:34, ebb,-4.4
2021-01-14 01:03, slack,-
2021-01-14 03:55, flood,2.6
2021-01-14 08:35, slack,-
2021-01-14 10:58, ebb,-1.3
2021-01-14 15:15, slack,-
2021-01-14 16:23, slack,-
2021-01-14 21:22, ebb,-4.0
2021-01-15 01:51, slack,-
2021-01-15 04:37, flood,2.4
2021-01-15 09:17, slack,-
2021-01-15 11:46, ebb,-1.4
2021-01-15 16:04, slack,-
2021-01-15 22:10, ebb,-3.6
2021-01-16 02:33, slack,-
2021-01-16 05:25, flood,2.2
2021-01-16 09:59, slack,-
2021-01-16 12:34, ebb,-1.5
2021-01-16 16:58, ebb,-0.1
2021-01-16 22:58, ebb,-3.1
