Year,Month,Day,Amplitude,Station
2020,10,01,1.3,PCT2126
2020,10,02,1.3,PCT2126
2020,10,03,1.2,PCT2126
2020,10,04,1.2,PCT2126
2020,10,05,1,PCT2126
2020,10,06,1.4,PCT2126
2020,10,07,1.5,PCT2126
2020,10,08,1.5,PCT2126
2020,10,09,1.4,PCT2126
2020,10,10,1.4,PCT2126
2020,10,11,1.4,PCT2126
2020,10,12,1.4,PCT2126
2020,10,13,1.5,PCT2126
2020,10,14,1.5,PCT2126
2020,10,15,1.5,PCT2126
2020,10,16,1.6,PCT2126
2020,10,17,1.8,PCT2126
2020,10,18,2,PCT2126
2020,10,19,2.2,PCT2126
2020,10,20,2.2,PCT2126
2020,10,21,2,PCT2126
2020,10,22,2.1,PCT2126
2020,10,23,1.8,PCT2126
2020,10,24,1.5,PCT2126
2020,10,25,1.3,PCT2126
2020,10,26,1.2,PCT2126
2020,10,27,1.1,PCT2126
2020,10,28,1.1,PCT2126
2020,10,29,1.2,PCT2126
2020,10,30,1.1,PCT2126
2020,10,31,1.4,PCT2126
2020,11,01,1.6,PCT2126
2020,11,02,1.7000000000000002,PCT2126
2020,11,03,1.7999999999999998,PCT2126
2020,11,04,1.9,PCT2126
2020,11,05,1.7,PCT2126
2020,11,06,1.7,PCT2126
2020,11,08,1.4,PCT2126
2020,11,09,1.3,PCT2126
2020,11,10,1.1,PCT2126
2020,11,11,1.2000000000000002,PCT2126
2020,11,12,1.3,PCT2126
2020,11,13,1.4,PCT2126
2020,11,14,1.8,PCT2126
2020,11,15,2.2,PCT2126
2020,11,16,2.5,PCT2126
2020,11,17,2.5,PCT2126
2020,11,18,2.4,PCT2126
2020,11,19,2.2,PCT2126
2020,11,20,1.8,PCT2126
2020,11,21,1.6,PCT2126
2020,11,22,1.3,PCT2126
2020,11,23,1.1,PCT2126
2020,11,24,1,PCT2126
2020,11,25,1,PCT2126
2020,11,26,1,PCT2126
2020,11,27,1.2,PCT2126
2020,11,28,1.5,PCT2126
2020,11,29,1.8,PCT2126
2020,11,30,2,PCT2126
2020,12,01,2.0999999999999996,PCT2126
2020,12,02,2.2,PCT2126
2020,12,03,2.1,PCT2126
2020,12,04,2,PCT2126
2020,12,05,1.7,PCT2126
2020,12,06,1.2000000000000002,PCT2126
2020,12,07,1.3,PCT2126
2020,12,08,1.1,PCT2126
2020,12,09,1.1,PCT2126
2020,12,10,1.1,PCT2126
2020,12,11,1.2999999999999998,PCT2126
2020,12,12,1.7,PCT2126
2020,12,13,2.2,PCT2126
2020,12,14,2.5,PCT2126
2020,12,15,2.5,PCT2126
2020,12,16,2.5999999999999996,PCT2126
2020,12,17,2.4,PCT2126
2020,12,18,2.1,PCT2126
2020,12,19,1.7999999999999998,PCT2126
2020,12,20,1.4000000000000001,PCT2126
2020,12,21,1.2,PCT2126
2020,12,22,1.1,PCT2126
2020,12,23,1,PCT2126
2020,12,24,0.9,PCT2126
2020,12,25,1.1,PCT2126
2020,12,26,1.4,PCT2126
2020,12,27,1.8,PCT2126
2020,12,28,2,PCT2126
2020,12,29,2.2,PCT2126
2020,12,30,2.3,PCT2126
2020,12,31,2.3,PCT2126
