grid_id,GL.m,GL.sd,CoMu.m,CoMu.sd,HSeal.m,HSeal.sd,lat,lon,geometry,GL.p,CM.p,HS.p
249,5.408649601408989,0.8089355333273767,10.501739945680498,4.509893845903763,0.27896204235056976,0.07084102822940344,48.488438,-123.115599,"c(491458.546842816, 5370596.84966268)",2,2,2
342,3.67665555878179,0.9194896090336044,11.349182717113099,7.168934457102848,0.2163645748548722,0.0317901265069996,48.650404,-123.075237,"c(494458.565127438, 5388596.76827135)",2,2,2
524,1.3659121377524697,0.2974064928188879,2.0167314525282722,1.8306750127692957,0.0829814969871108,0.00553553902254745,48.677417,-123.007355,"c(499458.571183745, 5391596.794157)",1,1,2
525,0.9256410008261444,0.2774974773888146,10.196871472264796,10.415154869553739,0.015661389383531413,0.0013310788813072122,48.668421,-123.007354,"c(499458.548413002, 5390596.80855235)",1,2,1
526,3.079152166102471,1.284256049386007,1.8445364381777676,1.8923735731679618,0.5643775736086752,0.08271530267562277,48.659425,-123.007353,"c(499458.52568193, 5389596.82451731)",2,1,2
559,0.8548789292000365,0.05253089340723559,0.22416265111434652,0.22950788565199157,0.04237514888182962,0.0011726264201170993,48.69541,-122.993769,"c(500458.523634221, 5393596.87385341)",1,1,2
560,0.7772285854602302,0.09739606446818422,0.699151731924164,0.7085734714264262,0.023265034708365096,6.585548506564894e-4,48.686413,-122.99377,"c(500458.531731472, 5392596.77395114)",1,1,1
561,0.8567418824397615,0.18595773774024402,1.686606286008479,1.7630553597959633,0.03272937089878924,0.001458165667546639,48.677417,-122.993771,"c(500458.539782024, 5391596.78677772)",1,1,2
593,1.9103438025316446,0.09741802768384195,0.6769793177595539,0.9503388984604388,0.12413607855432204,0.005826847972591689,48.722396,-122.980169,"c(501458.533343516, 5396596.7981264)",1,1,2
594,1.66309245391197,0.1687757382345384,1.1842638646120205,1.3621890439580533,0.08414893992127782,0.00311532922681128,48.7134,-122.980172,"c(501458.572754094, 5395596.80463106)",1,1,2
595,1.4245357404148284,0.2625472918519498,2.217541743873872,2.264580733458467,0.05280220778891961,0.0022638177616594282,48.704404,-122.980176,"c(501458.538475347, 5394596.8126859)",1,1,2
596,1.1316814763994645,0.26501971700244414,3.310622142282562,3.940468067321403,0.03499154795342128,0.0017994438211064744,48.695408,-122.980179,"c(501458.577642926, 5393596.82232924)",1,1,2
597,1.3134638588532668,0.4762643600001463,2.2505557725620067,3.2478730130123155,0.08017121002175104,0.007613972670459582,48.686412,-122.980183,"c(501458.543094982, 5392596.83352288)",1,1,2
630,1.5534917199933946,0.322241309131702,1.999057358247876,2.2137538994348556,0.07540136756159965,0.002728120475457407,48.722393,-122.966572,"c(502458.56766057, 5396596.8139455)",1,1,2
631,1.772937668264869,0.627810342050282,3.0564762911212604,4.186869341048122,0.12081855253474567,0.010836601036725792,48.713397,-122.966578,"c(502458.564719404, 5395596.82032873)",1,1,2
632,2.5385339197085375,1.365192528921652,7.348156332415854,12.496114671012604,0.17266848314680233,0.02880705997464205,48.704401,-122.966584,"c(502458.561559743, 5394596.82828125)",1,2,2
667,1.69887849171193,0.3805421070422614,2.4100924941929094,2.3563859445407096,0.12672796226778352,0.0058652536781750595,48.722388,-122.952976,"c(503458.528667777, 5396596.78575117)",1,1,2
