grid_id,GL.m,GL.sd,CoMu.m,CoMu.sd,HSeal.m,HSeal.sd,lat,lon,geometry,GL.p,CM.p,HS.p
628,40.49758948823117,8.29942323785567,143.8972383298103,29.157745715078846,1.7151086028438371,0.3255298070583407,48.407526,-122.980292,"c(501458.512562698, 5361596.84803015)",5,4,4
663,21.38176626784184,5.795229467376137,79.51406838962606,25.321870178710302,1.719742695444868,0.34676725980889433,48.425516,-122.966767,"c(502458.577732796, 5363596.85320546)",4,4,4
664,29.053006033633785,7.0919460486945995,108.85530769083275,30.038492840703647,1.712419168273867,0.3357907962060234,48.416519,-122.966773,"c(502458.567680355, 5362596.80025361)",4,4,4
1196,15.483920222637964,6.417802828134837,56.388516289644706,17.116293628510757,1.6241577280279658,0.3021335285734884,48.623197,-122.76309,"c(517458.525029255, 5385596.83992104)",4,4,4
1197,20.141814583345788,8.204498187280597,80.84116959475568,25.082730667380964,1.6381225495169434,0.3057174583473884,48.614201,-122.763132,"c(517458.531826818, 5384596.85524682)",4,4,4
1198,19.648440712274592,7.707979174500199,81.53511313185126,24.056328835873185,1.6398368641619652,0.3014594069228496,48.605205,-122.763174,"c(517458.537090441, 5383596.87214086)",4,4,4
1199,15.940971804006184,6.433455709121022,61.953911676335096,13.407321725399825,1.6352556427283884,0.27075676873629895,48.596208,-122.763216,"c(517458.541164847, 5382596.77944589)",4,4,4
1212,14.622569156542117,7.807282714675083,56.78720209801043,25.86446732493697,1.7064234613468747,0.24066703531562042,48.479257,-122.763761,"c(517458.525079363, 5369596.82896543)",4,4,4
1213,15.798451358699392,8.347300961009156,60.5982367034415,29.602413580732186,1.7011859359005983,0.21702693378183818,48.470261,-122.763803,"c(517458.507365247, 5368596.86939112)",4,4,4
1234,22.188678731573567,8.116397173725261,92.43491536892462,28.684142733688883,1.7086950366093951,0.2577738465074081,48.614172,-122.749565,"c(518458.507435809, 5384596.82214286)",4,4,4
1235,16.137955412843795,6.223829577697752,59.852649000249954,17.313841334539333,1.7523163313291752,0.25962872299346534,48.605176,-122.749609,"c(518458.542901473, 5383596.83813385)",4,4,4
1250,19.083954739352944,8.25985034625401,71.27837960888075,22.631667811053916,1.7239870005535536,0.15177288276405476,48.470232,-122.750274,"c(518458.513531608, 5368596.8203771)",4,4,4
1270,20.247135457781958,7.067028610694591,84.34228992767284,31.33199614378533,1.644817196931328,0.2469355025792413,48.623138,-122.73595,"c(519458.564474868, 5385596.84257038)",4,4,4
1271,21.738538060229924,7.479884775235565,85.04843623298598,28.74040064568855,1.7827151703557376,0.27607681861174366,48.614142,-122.735997,"c(519458.558151332, 5384596.85579044)",4,4,4
