Year,Month,Day,net_move,Station
2020,10,01,5.062,TWC1165
2020,10,02,6.356999999999999,TWC1165
2020,10,03,6.324,TWC1165
2020,10,04,6.19,TWC1165
2020,10,05,3.789,TWC1165
2020,10,06,5.5809999999999995,TWC1165
2020,10,07,5.205,TWC1165
2020,10,08,4.867999999999999,TWC1165
2020,10,09,4.192,TWC1165
2020,10,10,5.248,TWC1165
2020,10,11,5.096,TWC1165
2020,10,12,5.139,TWC1165
2020,10,13,5.956,TWC1165
2020,10,14,6.744,TWC1165
2020,10,15,7.55,TWC1165
2020,10,16,8.221,TWC1165
2020,10,17,8.63,TWC1165
2020,10,18,8.703000000000001,TWC1165
2020,10,19,5.340999999999999,TWC1165
2020,10,20,7.966,TWC1165
2020,10,21,7.315,TWC1165
2020,10,22,6.6259999999999994,TWC1165
2020,10,23,6.135,TWC1165
2020,10,24,5.7620000000000005,TWC1165
2020,10,25,5.140000000000001,TWC1165
2020,10,26,5.324,TWC1165
2020,10,27,5.475,TWC1165
2020,10,28,5.703,TWC1165
2020,10,29,5.946999999999999,TWC1165
2020,10,30,6.195,TWC1165
2020,10,31,6.404999999999999,TWC1165
