Year,Month,Day,net_move,Station
2020,11,01,3.6809999999999996,9449798
2020,11,02,5.808,9449798
2020,11,03,3.3749999999999996,9449798
2020,11,04,5.506,9449798
2020,11,05,4.8,9449798
2020,11,06,5.054,9449798
2020,11,07,4.890000000000001,9449798
2020,11,08,4.679,9449798
2020,11,09,5.567,9449798
2020,11,10,4.6370000000000005,9449798
2020,11,11,5.271000000000001,9449798
2020,11,12,6.023,9449798
2020,11,13,6.854,9449798
2020,11,14,7.5649999999999995,9449798
2020,11,15,8.001000000000001,9449798
2020,11,16,8.088000000000001,9449798
2020,11,17,4.706999999999999,9449798
2020,11,18,7.513999999999999,9449798
2020,11,19,6.870000000000001,9449798
2020,11,20,6.208,9449798
2020,11,21,5.5969999999999995,9449798
2020,11,22,5.038,9449798
2020,11,23,4.304,9449798
2020,11,24,4.26,9449798
2020,11,25,4.4110000000000005,9449798
2020,11,26,4.734999999999999,9449798
2020,11,27,5.122,9449798
2020,11,28,5.498999999999999,9449798
2020,11,29,5.8229999999999995,9449798
2020,11,30,6.042,9449798
