Date_Time (LST/LDT), Event, Speed (knots)
2020-01-24 15:07, flood,0.2
2020-01-24 16:40, slack,-
2020-01-24 19:16, ebb,-0.6
2020-01-24 22:30, slack,-
2020-01-25 03:43, flood,1.2
2020-01-25 07:10, slack,-
2020-01-25 09:10, ebb,-0.4
2020-01-25 12:36, slack,-
2020-01-25 15:55, flood,0.2
2020-01-25 17:22, slack,-
2020-01-25 19:52, ebb,-0.5
2020-01-25 23:12, slack,-
2020-01-26 04:19, flood,1.1
2020-01-26 07:40, slack,-
2020-01-26 09:46, ebb,-0.4
2020-01-26 13:24, slack,-
2020-01-26 16:37, flood,0.2
2020-01-26 18:10, slack,-
2020-01-26 20:40, ebb,-0.5
2020-01-26 23:48, slack,-
2020-01-27 04:49, flood,0.9
2020-01-27 08:10, slack,-
2020-01-27 10:16, ebb,-0.4
2020-01-27 14:00, slack,-
2020-01-27 17:19, flood,0.2
2020-01-27 19:04, slack,-
2020-01-27 21:22, ebb,-0.4
2020-01-28 00:24, slack,-
2020-01-28 05:25, flood,0.8
2020-01-28 08:34, slack,-
2020-01-28 10:40, ebb,-0.4
2020-01-28 14:30, slack,-
2020-01-28 18:07, flood,0.2
2020-01-28 19:58, slack,-
2020-01-28 22:16, ebb,-0.3
2020-01-29 01:06, slack,-
2020-01-29 05:55, flood,0.7
2020-01-29 08:58, slack,-
2020-01-29 11:04, ebb,-0.4
2020-01-29 15:00, slack,-
2020-01-29 18:55, flood,0.2
2020-01-29 21:04, slack,-
2020-01-29 23:10, ebb,-0.3
2020-01-30 01:54, slack,-
2020-01-30 06:37, flood,0.5
2020-01-30 09:22, slack,-
2020-01-30 11:34, ebb,-0.4
2020-01-30 15:30, slack,-
2020-01-30 19:43, flood,0.3
2020-01-30 22:16, slack,-
2020-01-31 00:10, ebb,-0.3
2020-01-31 02:48, slack,-
2020-01-31 07:13, flood,0.4
2020-01-31 09:52, slack,-
2020-01-31 12:10, ebb,-0.4
2020-01-31 16:06, slack,-
2020-01-31 20:37, flood,0.3
2020-01-31 23:34, slack,-
2020-02-01 01:10, ebb,-0.2
2020-02-01 03:48, slack,-
2020-02-01 08:01, flood,0.3
2020-02-01 10:16, slack,-
2020-02-01 12:52, ebb,-0.4
2020-02-01 16:48, slack,-
2020-02-01 21:37, flood,0.4
2020-02-02 00:46, slack,-
2020-02-02 02:16, ebb,-0.2
2020-02-02 05:00, slack,-
2020-02-02 08:55, flood,0.2
2020-02-02 10:52, slack,-
2020-02-02 13:40, ebb,-0.4
2020-02-02 17:36, slack,-
2020-02-02 22:37, flood,0.5
2020-02-03 01:58, slack,-
2020-02-03 03:28, ebb,-0.2
2020-02-03 06:24, slack,-
2020-02-03 09:55, flood,0.1
2020-02-03 11:28, slack,-
2020-02-03 14:28, ebb,-0.4
2020-02-03 18:18, slack,-
2020-02-03 23:31, flood,0.7
2020-02-04 03:04, slack,-
2020-02-04 04:34, ebb,-0.2
2020-02-04 07:48, slack,-
2020-02-04 10:49, flood,0.1
2020-02-04 12:10, slack,-
2020-02-04 15:22, ebb,-0.5
2020-02-04 19:06, slack,-
2020-02-05 00:19, flood,0.9
2020-02-05 03:58, slack,-
2020-02-05 05:34, ebb,-0.3
2020-02-05 08:54, slack,-
2020-02-05 12:52, slack,-
2020-02-05 16:10, ebb,-0.5
2020-02-05 19:48, slack,-
2020-02-06 01:07, flood,1.0
2020-02-06 04:46, slack,-
2020-02-06 06:22, ebb,-0.3
2020-02-06 09:42, slack,-
2020-02-06 13:46, slack,-
2020-02-06 16:52, ebb,-0.6
2020-02-06 20:30, slack,-
2020-02-07 01:49, flood,1.2
2020-02-07 05:28, slack,-
2020-02-07 07:04, ebb,-0.3
2020-02-07 10:24, slack,-
2020-02-07 13:31, flood,0.1
2020-02-07 14:40, slack,-
2020-02-07 17:40, ebb,-0.6
2020-02-07 21:12, slack,-
2020-02-08 02:31, flood,1.2
2020-02-08 06:04, slack,-
2020-02-08 07:34, ebb,-0.4
2020-02-08 11:06, slack,-
2020-02-08 14:19, flood,0.2
2020-02-08 15:40, slack,-
2020-02-08 18:28, ebb,-0.6
2020-02-08 21:54, slack,-
2020-02-09 03:13, flood,1.3
2020-02-09 06:34, slack,-
2020-02-09 08:04, ebb,-0.4
2020-02-09 11:36, slack,-
2020-02-09 15:07, flood,0.3
2020-02-09 16:46, slack,-
2020-02-09 19:16, ebb,-0.6
2020-02-09 22:42, slack,-
2020-02-10 03:49, flood,1.2
2020-02-10 07:10, slack,-
2020-02-10 08:40, ebb,-0.4
2020-02-10 12:12, slack,-
2020-02-10 16:01, flood,0.4
2020-02-10 17:52, slack,-
2020-02-10 20:10, ebb,-0.6
2020-02-10 23:30, slack,-
2020-02-11 04:37, flood,1.2
2020-02-11 07:46, slack,-
2020-02-11 09:16, ebb,-0.5
2020-02-11 12:48, slack,-
2020-02-11 16:55, flood,0.4
2020-02-11 18:58, slack,-
2020-02-11 21:10, ebb,-0.6
2020-02-12 00:24, slack,-
2020-02-12 05:19, flood,1.0
2020-02-12 08:22, slack,-
2020-02-12 09:58, ebb,-0.5
2020-02-12 13:30, slack,-
2020-02-12 17:49, flood,0.5
2020-02-12 20:04, slack,-
2020-02-12 22:10, ebb,-0.5
2020-02-13 01:24, slack,-
2020-02-13 06:07, flood,0.9
2020-02-13 09:04, slack,-
2020-02-13 10:46, ebb,-0.5
2020-02-13 14:18, slack,-
2020-02-13 18:43, flood,0.6
2020-02-13 21:22, slack,-
2020-02-13 23:22, ebb,-0.4
2020-02-14 02:24, slack,-
2020-02-14 07:01, flood,0.7
2020-02-14 09:46, slack,-
2020-02-14 11:40, ebb,-0.5
2020-02-14 15:12, slack,-
2020-02-14 19:55, flood,0.6
2020-02-14 22:40, slack,-
2020-02-15 00:34, ebb,-0.4
2020-02-15 03:36, slack,-
2020-02-15 08:01, flood,0.6
2020-02-15 10:28, slack,-
2020-02-15 12:34, ebb,-0.5
2020-02-15 16:12, slack,-
2020-02-15 21:01, flood,0.7
2020-02-16 00:04, slack,-
2020-02-16 01:52, ebb,-0.4
2020-02-16 04:54, slack,-
2020-02-16 09:07, flood,0.4
2020-02-16 11:22, slack,-
2020-02-16 13:34, ebb,-0.5
2020-02-16 17:12, slack,-
2020-02-16 22:13, flood,0.8
2020-02-17 01:28, slack,-
2020-02-17 03:10, ebb,-0.3
2020-02-17 06:18, slack,-
2020-02-17 10:13, flood,0.3
2020-02-17 12:10, slack,-
2020-02-17 14:40, ebb,-0.5
2020-02-17 18:18, slack,-
2020-02-17 23:19, flood,0.9
2020-02-18 02:40, slack,-
2020-02-18 04:28, ebb,-0.3
2020-02-18 07:42, slack,-
2020-02-18 11:19, flood,0.3
2020-02-18 13:10, slack,-
2020-02-18 15:40, ebb,-0.5
2020-02-18 19:12, slack,-
2020-02-19 00:19, flood,1.0
2020-02-19 03:40, slack,-
2020-02-19 05:34, ebb,-0.4
2020-02-19 08:54, slack,-
2020-02-19 12:19, flood,0.2
2020-02-19 14:04, slack,-
2020-02-19 16:34, ebb,-0.5
2020-02-19 20:00, slack,-
2020-02-20 01:07, flood,1.1
2020-02-20 04:34, slack,-
2020-02-20 06:34, ebb,-0.4
2020-02-20 09:54, slack,-
2020-02-20 13:13, flood,0.2
2020-02-20 14:58, slack,-
2020-02-20 17:28, ebb,-0.5
2020-02-20 20:48, slack,-
2020-02-21 01:55, flood,1.1
2020-02-21 05:16, slack,-
2020-02-21 07:22, ebb,-0.4
2020-02-21 10:42, slack,-
2020-02-21 14:07, flood,0.3
2020-02-21 15:52, slack,-
2020-02-21 18:16, ebb,-0.5
2020-02-21 21:30, slack,-
2020-02-22 02:31, flood,1.0
2020-02-22 05:52, slack,-
2020-02-22 07:58, ebb,-0.4
2020-02-22 11:24, slack,-
2020-02-22 14:55, flood,0.3
2020-02-22 16:40, slack,-
2020-02-22 19:04, ebb,-0.5
2020-02-22 22:12, slack,-
2020-02-23 03:07, flood,1.0
2020-02-23 06:22, slack,-
2020-02-23 08:22, ebb,-0.4
2020-02-23 11:54, slack,-
2020-02-23 15:37, flood,0.3
2020-02-23 17:34, slack,-
2020-02-23 19:46, ebb,-0.5
2020-02-23 22:48, slack,-
2020-02-24 03:43, flood,0.9
2020-02-24 06:52, slack,-
2020-02-24 08:46, ebb,-0.4
2020-02-24 12:24, slack,-
2020-02-24 16:13, flood,0.4
2020-02-24 18:22, slack,-
2020-02-24 20:28, ebb,-0.4
2020-02-24 23:30, slack,-
2020-02-25 04:13, flood,0.8
2020-02-25 07:16, slack,-
2020-02-25 09:04, ebb,-0.4
2020-02-25 12:48, slack,-
2020-02-25 16:55, flood,0.4
2020-02-25 19:16, slack,-
2020-02-25 21:16, ebb,-0.4
2020-02-26 00:12, slack,-
2020-02-26 04:49, flood,0.6
2020-02-26 07:34, slack,-
2020-02-26 09:28, ebb,-0.4
2020-02-26 13:12, slack,-
2020-02-26 17:31, flood,0.4
2020-02-26 20:04, slack,-
2020-02-26 22:04, ebb,-0.4
2020-02-27 01:00, slack,-
2020-02-27 05:25, flood,0.5
2020-02-27 07:58, slack,-
2020-02-27 09:58, ebb,-0.4
2020-02-27 13:36, slack,-
2020-02-27 18:13, flood,0.4
2020-02-27 20:58, slack,-
2020-02-27 22:58, ebb,-0.3
2020-02-28 01:48, slack,-
2020-02-28 06:01, flood,0.4
2020-02-28 08:22, slack,-
2020-02-28 10:34, ebb,-0.4
2020-02-28 14:12, slack,-
2020-02-28 18:55, flood,0.5
2020-02-28 21:58, slack,-
2020-02-28 23:52, ebb,-0.3
2020-02-29 02:42, slack,-
2020-02-29 06:37, flood,0.3
2020-02-29 08:52, slack,-
2020-02-29 11:16, ebb,-0.4
2020-02-29 14:54, slack,-
2020-02-29 19:49, flood,0.5
2020-02-29 23:04, slack,-
2020-03-01 00:46, ebb,-0.3
2020-03-01 03:42, slack,-
2020-03-01 07:25, flood,0.2
2020-03-01 09:16, slack,-
2020-03-01 12:04, ebb,-0.4
2020-03-01 15:42, slack,-
2020-03-01 20:49, flood,0.6
2020-03-02 00:16, slack,-
2020-03-02 01:46, ebb,-0.2
2020-03-02 04:54, slack,-
2020-03-02 08:13, flood,0.1
2020-03-02 09:46, slack,-
2020-03-02 12:52, ebb,-0.4
2020-03-02 16:30, slack,-
2020-03-02 21:49, flood,0.7
2020-03-03 01:28, slack,-
2020-03-03 02:58, ebb,-0.2
2020-03-03 06:24, slack,-
2020-03-03 10:16, slack,-
2020-03-03 13:40, ebb,-0.5
2020-03-03 17:24, slack,-
2020-03-03 22:49, flood,0.8
2020-03-04 02:28, slack,-
2020-03-04 04:04, ebb,-0.3
2020-03-04 08:00, slack,-
2020-03-04 10:52, slack,-
2020-03-04 14:40, ebb,-0.5
2020-03-04 18:18, slack,-
2020-03-04 23:43, flood,0.9
2020-03-05 03:22, slack,-
2020-03-05 05:04, ebb,-0.3
2020-03-05 08:54, slack,-
2020-03-05 12:04, slack,-
2020-03-05 15:34, ebb,-0.5
2020-03-05 19:12, slack,-
2020-03-06 00:31, flood,1.0
2020-03-06 04:04, slack,-
2020-03-06 05:46, ebb,-0.3
2020-03-06 09:30, slack,-
2020-03-06 13:28, slack,-
2020-03-06 16:34, ebb,-0.5
2020-03-06 20:00, slack,-
2020-03-07 01:13, flood,1.1
2020-03-07 04:40, slack,-
2020-03-07 06:22, ebb,-0.4
2020-03-07 09:54, slack,-
2020-03-07 13:19, flood,0.2
2020-03-07 14:46, slack,-
2020-03-07 17:28, ebb,-0.6
