Date_Time (LST/LDT), Event, Speed (knots)
2020-01-01 02:54, slack,-
2020-01-01 05:54, flood,2.0
2020-01-01 09:42, slack,-
2020-01-01 13:36, ebb,-2.2
2020-01-01 17:12, slack,-
2020-01-01 19:06, flood,0.6
2020-01-01 20:48, slack,-
2020-01-01 23:48, ebb,-1.9
2020-01-02 03:36, slack,-
2020-01-02 06:30, flood,1.7
2020-01-02 10:06, slack,-
2020-01-02 14:18, ebb,-2.2
2020-01-02 18:00, slack,-
2020-01-02 20:12, flood,0.8
2020-01-02 22:06, slack,-
2020-01-03 00:42, ebb,-1.5
2020-01-03 04:30, slack,-
2020-01-03 07:12, flood,1.4
2020-01-03 10:30, slack,-
2020-01-03 14:54, ebb,-2.4
2020-01-03 18:36, slack,-
2020-01-03 21:12, flood,1.1
2020-01-03 23:30, slack,-
2020-01-04 01:54, ebb,-1.0
2020-01-04 05:36, slack,-
2020-01-04 07:54, flood,1.2
2020-01-04 10:54, slack,-
2020-01-04 15:24, ebb,-2.5
2020-01-04 19:12, slack,-
2020-01-04 22:06, flood,1.5
2020-01-05 00:54, slack,-
2020-01-05 03:42, ebb,-0.8
2020-01-05 06:42, slack,-
2020-01-05 08:36, flood,0.9
2020-01-05 11:12, slack,-
2020-01-05 15:54, ebb,-2.8
2020-01-05 19:48, slack,-
2020-01-05 22:54, flood,1.9
2020-01-06 02:06, slack,-
2020-01-06 05:18, ebb,-1.0
2020-01-06 07:48, slack,-
2020-01-06 09:30, flood,0.8
2020-01-06 11:42, slack,-
2020-01-06 16:24, ebb,-3.0
2020-01-06 20:18, slack,-
2020-01-06 23:30, flood,2.3
2020-01-07 03:00, slack,-
2020-01-07 06:06, ebb,-1.3
2020-01-07 08:48, slack,-
2020-01-07 10:18, flood,0.7
2020-01-07 12:18, slack,-
2020-01-07 17:00, ebb,-3.2
2020-01-07 20:54, slack,-
2020-01-07 23:54, flood,2.5
2020-01-08 03:48, slack,-
2020-01-08 06:48, ebb,-1.5
2020-01-08 09:36, slack,-
2020-01-08 11:06, flood,0.8
2020-01-08 13:06, slack,-
2020-01-08 17:42, ebb,-3.5
2020-01-08 21:30, slack,-
2020-01-09 00:18, flood,2.8
2020-01-09 04:24, slack,-
2020-01-09 07:30, ebb,-1.8
2020-01-09 10:24, slack,-
2020-01-09 12:00, flood,0.9
2020-01-09 14:00, slack,-
2020-01-09 18:24, ebb,-3.7
2020-01-09 22:06, slack,-
2020-01-10 00:54, flood,3.0
2020-01-10 05:06, slack,-
2020-01-10 08:06, ebb,-1.9
2020-01-10 11:12, slack,-
2020-01-10 12:48, flood,0.9
2020-01-10 14:54, slack,-
2020-01-10 19:12, ebb,-3.8
2020-01-10 22:48, slack,-
2020-01-11 01:36, flood,3.1
2020-01-11 05:48, slack,-
2020-01-11 08:54, ebb,-2.0
2020-01-11 12:00, slack,-
2020-01-11 13:36, flood,1.0
2020-01-11 15:48, slack,-
2020-01-11 19:54, ebb,-3.9
2020-01-11 23:30, slack,-
2020-01-12 02:18, flood,3.2
2020-01-12 06:36, slack,-
2020-01-12 09:36, ebb,-2.2
2020-01-12 12:48, slack,-
2020-01-12 14:30, flood,1.0
2020-01-12 16:36, slack,-
2020-01-12 20:42, ebb,-3.9
2020-01-13 00:12, slack,-
2020-01-13 03:06, flood,3.3
2020-01-13 07:18, slack,-
2020-01-13 10:18, ebb,-2.3
2020-01-13 13:42, slack,-
2020-01-13 15:24, flood,1.0
2020-01-13 17:36, slack,-
2020-01-13 21:30, ebb,-3.8
2020-01-14 01:00, slack,-
2020-01-14 03:48, flood,3.3
2020-01-14 07:54, slack,-
2020-01-14 11:06, ebb,-2.4
2020-01-14 14:42, slack,-
2020-01-14 16:18, flood,1.0
2020-01-14 18:36, slack,-
2020-01-14 22:18, ebb,-3.5
2020-01-15 01:42, slack,-
