Date_Time (LST/LDT), Event, Speed (knots)
2020-01-01 02:36, slack,-
2020-01-01 05:54, flood,0.8
2020-01-01 10:00, slack,-
2020-01-01 13:30, ebb,-1.5
2020-01-01 18:12, slack,-
2020-01-01 19:54, flood,0.2
2020-01-01 21:36, slack,-
2020-01-02 00:36, ebb,-0.9
2020-01-02 03:30, slack,-
2020-01-02 06:36, flood,0.6
2020-01-02 10:12, slack,-
2020-01-02 13:54, ebb,-1.5
2020-01-02 18:30, slack,-
2020-01-02 21:12, flood,0.3
2020-01-02 23:00, slack,-
2020-01-03 01:36, ebb,-0.7
2020-01-03 04:30, slack,-
2020-01-03 07:18, flood,0.4
2020-01-03 09:54, slack,-
2020-01-03 14:18, ebb,-1.6
2020-01-03 18:48, slack,-
2020-01-03 22:12, flood,0.5
2020-01-04 00:18, slack,-
2020-01-04 02:42, ebb,-0.6
2020-01-04 05:54, slack,-
2020-01-04 08:00, flood,0.2
2020-01-04 09:30, slack,-
2020-01-04 14:48, ebb,-1.7
2020-01-04 19:00, slack,-
2020-01-04 21:30, flood,0.6
2020-01-04 23:00, flood,0.6
2020-01-05 01:36, slack,-
2020-01-05 04:00, ebb,-0.5
2020-01-05 07:36, slack,-
2020-01-05 08:48, flood,0.1
2020-01-05 09:48, slack,-
2020-01-05 15:24, ebb,-1.8
2020-01-05 19:24, slack,-
2020-01-05 22:00, flood,0.8
2020-01-06 02:48, slack,-
2020-01-06 05:06, ebb,-0.5
2020-01-06 09:12, slack,-
2020-01-06 16:06, ebb,-2.0
2020-01-06 19:48, slack,-
2020-01-06 22:42, flood,0.9
2020-01-07 03:42, slack,-
2020-01-07 06:00, ebb,-0.7
2020-01-07 10:30, slack,-
2020-01-07 16:54, ebb,-2.1
2020-01-07 20:24, slack,-
2020-01-07 23:24, flood,1.1
2020-01-08 04:24, slack,-
2020-01-08 06:48, ebb,-0.8
2020-01-08 11:36, slack,-
2020-01-08 17:36, ebb,-2.2
2020-01-08 21:00, slack,-
2020-01-09 00:06, flood,1.3
2020-01-09 05:00, slack,-
2020-01-09 07:36, ebb,-1.0
2020-01-09 12:24, slack,-
2020-01-09 18:24, ebb,-2.3
2020-01-09 21:42, slack,-
2020-01-10 01:00, flood,1.4
2020-01-10 05:36, slack,-
2020-01-10 08:24, ebb,-1.2
2020-01-10 13:06, slack,-
2020-01-10 14:24, slack,-
2020-01-10 19:12, ebb,-2.3
2020-01-10 22:24, slack,-
2020-01-11 01:54, flood,1.6
2020-01-11 06:12, slack,-
2020-01-11 09:12, ebb,-1.3
2020-01-11 13:48, slack,-
2020-01-11 14:36, flood,0.1
2020-01-11 15:30, slack,-
2020-01-11 19:54, ebb,-2.2
2020-01-11 23:06, slack,-
2020-01-12 02:42, flood,1.8
2020-01-12 06:48, slack,-
2020-01-12 09:54, ebb,-1.5
2020-01-12 14:24, slack,-
2020-01-12 15:24, flood,0.2
2020-01-12 16:30, slack,-
2020-01-12 20:48, ebb,-2.1
2020-01-13 00:00, slack,-
2020-01-13 03:30, flood,1.8
2020-01-13 07:24, slack,-
2020-01-13 10:42, ebb,-1.5
2020-01-13 14:54, slack,-
2020-01-13 16:12, flood,0.3
2020-01-13 17:36, slack,-
2020-01-13 21:36, ebb,-2.0
2020-01-14 00:54, slack,-
2020-01-14 04:12, flood,1.7
2020-01-14 08:06, slack,-
2020-01-14 11:24, ebb,-1.6
2020-01-14 15:24, slack,-
2020-01-14 17:00, flood,0.5
2020-01-14 18:54, slack,-
2020-01-14 22:42, ebb,-1.8
2020-01-15 01:54, slack,-
2020-01-15 05:06, flood,1.5
2020-01-15 08:42, slack,-
2020-01-15 12:06, ebb,-1.7
2020-01-15 15:54, slack,-
2020-01-15 17:48, flood,0.6
2020-01-15 20:12, slack,-
2020-01-15 23:48, ebb,-1.6
2020-01-16 03:00, slack,-
2020-01-16 06:00, flood,1.3
2020-01-16 09:12, slack,-
2020-01-16 12:42, ebb,-1.8
2020-01-16 16:24, slack,-
2020-01-16 18:42, flood,0.8
2020-01-16 21:36, slack,-
2020-01-17 00:54, ebb,-1.5
2020-01-17 04:12, slack,-
2020-01-17 06:54, flood,1.0
2020-01-17 09:48, slack,-
2020-01-17 13:18, ebb,-1.9
2020-01-17 17:06, slack,-
2020-01-17 19:36, flood,1.0
2020-01-17 23:00, slack,-
2020-01-18 02:06, ebb,-1.4
2020-01-18 05:30, slack,-
2020-01-18 07:54, flood,0.8
2020-01-18 10:30, slack,-
2020-01-18 14:00, ebb,-2.0
2020-01-18 17:48, slack,-
2020-01-18 20:30, flood,1.0
2020-01-19 00:12, slack,-
2020-01-19 03:18, ebb,-1.3
2020-01-19 06:54, slack,-
2020-01-19 08:54, flood,0.7
2020-01-19 11:18, slack,-
2020-01-19 14:54, ebb,-2.0
2020-01-19 18:36, slack,-
2020-01-19 21:30, flood,1.1
2020-01-20 01:30, slack,-
2020-01-20 04:36, ebb,-1.3
2020-01-20 08:06, slack,-
2020-01-20 09:54, flood,0.6
2020-01-20 12:12, slack,-
2020-01-20 15:54, ebb,-2.0
2020-01-20 19:30, slack,-
2020-01-20 22:30, flood,1.1
2020-01-21 02:42, slack,-
2020-01-21 05:42, ebb,-1.4
2020-01-21 09:18, slack,-
2020-01-21 11:00, flood,0.5
2020-01-21 13:12, slack,-
2020-01-21 16:48, ebb,-2.0
2020-01-21 20:24, slack,-
2020-01-22 01:06, flood,1.2
2020-01-22 03:42, slack,-
2020-01-22 06:42, ebb,-1.5
2020-01-22 10:24, slack,-
2020-01-22 12:12, flood,0.5
2020-01-22 14:18, slack,-
2020-01-22 17:36, ebb,-2.0
2020-01-22 21:18, slack,-
2020-01-23 02:06, flood,1.3
2020-01-23 04:36, slack,-
2020-01-23 07:36, ebb,-1.6
2020-01-23 11:30, slack,-
2020-01-23 13:24, flood,0.5
2020-01-23 15:12, slack,-
2020-01-23 18:24, ebb,-2.0
2020-01-23 22:00, slack,-
2020-01-24 02:54, flood,1.5
2020-01-24 05:30, slack,-
2020-01-24 08:30, ebb,-1.7
2020-01-24 12:30, slack,-
2020-01-24 14:24, flood,0.5
2020-01-24 16:06, slack,-
2020-01-24 19:12, ebb,-2.0
2020-01-24 22:42, slack,-
2020-01-25 03:30, flood,1.5
2020-01-25 06:12, slack,-
2020-01-25 09:18, ebb,-1.7
2020-01-25 13:24, slack,-
2020-01-25 15:12, flood,0.5
2020-01-25 16:48, slack,-
2020-01-25 19:54, ebb,-1.9
2020-01-25 23:24, slack,-
2020-01-26 03:54, flood,1.5
2020-01-26 06:54, slack,-
2020-01-26 10:06, ebb,-1.7
2020-01-26 14:18, slack,-
2020-01-26 15:48, flood,0.4
2020-01-26 17:30, slack,-
2020-01-26 20:42, ebb,-1.8
2020-01-27 00:06, slack,-
2020-01-27 03:48, flood,1.4
2020-01-27 07:30, slack,-
2020-01-27 10:48, ebb,-1.6
2020-01-27 15:00, slack,-
2020-01-27 16:24, flood,0.3
2020-01-27 18:12, slack,-
2020-01-27 21:24, ebb,-1.6
2020-01-28 00:48, slack,-
2020-01-28 04:06, flood,1.2
2020-01-28 08:00, slack,-
2020-01-28 11:24, ebb,-1.5
2020-01-28 15:36, slack,-
2020-01-28 17:00, flood,0.3
2020-01-28 19:00, slack,-
2020-01-28 22:18, ebb,-1.3
2020-01-29 01:36, slack,-
2020-01-29 04:36, flood,1.0
2020-01-29 08:18, slack,-
2020-01-29 11:54, ebb,-1.5
2020-01-29 16:06, slack,-
2020-01-29 17:36, flood,0.4
2020-01-29 20:06, slack,-
2020-01-29 23:12, ebb,-1.1
2020-01-30 02:18, slack,-
2020-01-30 05:12, flood,0.7
2020-01-30 08:24, slack,-
2020-01-30 12:18, ebb,-1.5
2020-01-30 16:30, slack,-
2020-01-30 18:18, flood,0.4
2020-01-30 21:18, slack,-
2020-01-31 00:12, ebb,-0.8
2020-01-31 03:00, slack,-
2020-01-31 05:48, flood,0.5
2020-01-31 08:06, slack,-
2020-01-31 12:36, ebb,-1.6
2020-01-31 16:42, slack,-
2020-01-31 18:54, flood,0.5
2020-01-31 22:36, slack,-
2020-02-01 01:06, ebb,-0.6
2020-02-01 03:48, slack,-
2020-02-01 06:30, flood,0.3
2020-02-01 08:06, slack,-
2020-02-01 13:06, ebb,-1.8
2020-02-01 17:06, slack,-
2020-02-01 19:36, flood,0.6
2020-02-01 23:54, slack,-
2020-02-02 02:12, ebb,-0.4
2020-02-02 05:00, slack,-
2020-02-02 07:18, flood,0.2
2020-02-02 08:24, slack,-
2020-02-02 13:42, ebb,-1.8
2020-02-02 17:36, slack,-
2020-02-02 20:12, flood,0.7
2020-02-03 01:12, slack,-
2020-02-03 03:30, ebb,-0.4
2020-02-03 07:36, slack,-
2020-02-03 08:42, slack,-
2020-02-03 14:24, ebb,-1.9
2020-02-03 18:18, slack,-
2020-02-03 21:06, flood,0.8
2020-02-04 02:24, slack,-
2020-02-04 04:48, ebb,-0.5
2020-02-04 09:18, slack,-
2020-02-04 15:24, ebb,-1.9
2020-02-04 19:00, slack,-
2020-02-04 21:54, flood,0.9
2020-02-05 03:18, slack,-
2020-02-05 05:54, ebb,-0.7
2020-02-05 10:24, slack,-
2020-02-05 16:24, ebb,-1.9
2020-02-05 19:48, slack,-
2020-02-05 22:48, flood,1.0
2020-02-06 04:00, slack,-
2020-02-06 06:42, ebb,-0.9
2020-02-06 11:30, slack,-
2020-02-06 17:18, ebb,-2.0
2020-02-06 20:36, slack,-
2020-02-06 23:48, flood,1.2
2020-02-07 04:36, slack,-
2020-02-07 07:24, ebb,-1.2
2020-02-07 12:12, slack,-
2020-02-07 18:12, ebb,-2.1
2020-02-07 21:24, slack,-
2020-02-08 00:48, flood,1.5
2020-02-08 05:12, slack,-
2020-02-08 08:06, ebb,-1.4
2020-02-08 12:30, slack,-
2020-02-08 13:36, flood,0.2
2020-02-08 14:54, slack,-
2020-02-08 19:00, ebb,-2.2
2020-02-08 22:12, slack,-
2020-02-09 01:42, flood,1.6
2020-02-09 05:42, slack,-
2020-02-09 08:42, ebb,-1.6
2020-02-09 13:00, slack,-
2020-02-09 14:24, flood,0.4
2020-02-09 16:06, slack,-
2020-02-09 19:48, ebb,-2.2
2020-02-09 23:06, slack,-
2020-02-10 02:30, flood,1.7
2020-02-10 06:18, slack,-
2020-02-10 09:18, ebb,-1.7
2020-02-10 13:24, slack,-
2020-02-10 15:06, flood,0.6
2020-02-10 17:06, slack,-
2020-02-10 20:36, ebb,-2.2
2020-02-11 00:00, slack,-
2020-02-11 03:12, flood,1.7
2020-02-11 06:48, slack,-
2020-02-11 09:54, ebb,-1.8
2020-02-11 13:48, slack,-
2020-02-11 15:48, flood,0.8
2020-02-11 18:06, slack,-
2020-02-11 21:30, ebb,-2.0
2020-02-12 00:54, slack,-
2020-02-12 04:00, flood,1.6
2020-02-12 07:18, slack,-
2020-02-12 10:30, ebb,-1.9
2020-02-12 14:12, slack,-
2020-02-12 16:30, flood,1.0
2020-02-12 19:06, slack,-
2020-02-12 22:30, ebb,-1.8
2020-02-13 01:54, slack,-
2020-02-13 04:48, flood,1.4
2020-02-13 07:48, slack,-
2020-02-13 11:06, ebb,-1.9
2020-02-13 14:42, slack,-
2020-02-13 17:12, flood,1.1
2020-02-13 20:12, slack,-
2020-02-13 23:36, ebb,-1.6
2020-02-14 03:00, slack,-
2020-02-14 05:36, flood,1.1
2020-02-14 08:24, slack,-
2020-02-14 11:48, ebb,-2.0
2020-02-14 15:18, slack,-
2020-02-14 18:00, flood,1.1
2020-02-14 21:24, slack,-
2020-02-15 00:42, ebb,-1.5
2020-02-15 04:06, slack,-
2020-02-15 06:30, flood,0.9
2020-02-15 09:00, slack,-
2020-02-15 12:36, ebb,-2.0
2020-02-15 16:06, slack,-
2020-02-15 18:54, flood,1.1
2020-02-15 22:42, slack,-
2020-02-16 01:48, ebb,-1.3
2020-02-16 05:24, slack,-
2020-02-16 07:30, flood,0.7
2020-02-16 09:48, slack,-
2020-02-16 13:24, ebb,-2.0
2020-02-16 17:00, slack,-
2020-02-16 19:48, flood,1.0
2020-02-16 23:54, slack,-
2020-02-17 03:06, ebb,-1.2
2020-02-17 06:48, slack,-
2020-02-17 08:30, flood,0.6
2020-02-17 10:48, slack,-
2020-02-17 14:18, ebb,-1.9
2020-02-17 18:06, slack,-
2020-02-17 20:54, flood,0.9
2020-02-18 01:12, slack,-
2020-02-18 04:24, ebb,-1.2
2020-02-18 08:06, slack,-
2020-02-18 09:42, flood,0.5
2020-02-18 11:54, slack,-
2020-02-18 15:24, ebb,-1.8
2020-02-18 19:12, slack,-
2020-02-19 00:00, flood,0.9
2020-02-19 02:30, slack,-
2020-02-19 05:36, ebb,-1.3
2020-02-19 09:18, slack,-
2020-02-19 11:00, flood,0.4
2020-02-19 13:00, slack,-
2020-02-19 16:24, ebb,-1.8
2020-02-19 20:12, slack,-
2020-02-20 01:06, flood,1.1
2020-02-20 03:36, slack,-
2020-02-20 06:36, ebb,-1.5
2020-02-20 10:24, slack,-
2020-02-20 12:18, flood,0.5
2020-02-20 14:06, slack,-
2020-02-20 17:24, ebb,-1.8
2020-02-20 21:12, slack,-
2020-02-21 01:54, flood,1.4
2020-02-21 04:24, slack,-
2020-02-21 07:30, ebb,-1.7
2020-02-21 11:24, slack,-
2020-02-21 13:30, flood,0.5
2020-02-21 15:06, slack,-
2020-02-21 18:12, ebb,-1.8
2020-02-21 21:54, slack,-
2020-02-22 02:36, flood,1.5
2020-02-22 05:06, slack,-
2020-02-22 08:12, ebb,-1.8
2020-02-22 12:12, slack,-
2020-02-22 14:18, flood,0.6
2020-02-22 15:54, slack,-
2020-02-22 19:00, ebb,-1.9
2020-02-22 22:36, slack,-
2020-02-23 03:12, flood,1.5
2020-02-23 05:48, slack,-
2020-02-23 08:48, ebb,-1.8
2020-02-23 12:54, slack,-
2020-02-23 15:00, flood,0.6
2020-02-23 16:42, slack,-
2020-02-23 19:42, ebb,-1.8
2020-02-23 23:18, slack,-
2020-02-24 03:36, flood,1.4
2020-02-24 06:18, slack,-
2020-02-24 09:18, ebb,-1.7
2020-02-24 13:30, slack,-
2020-02-24 15:30, flood,0.6
2020-02-24 17:24, slack,-
2020-02-24 20:30, ebb,-1.7
2020-02-25 00:00, slack,-
2020-02-25 03:24, flood,1.2
2020-02-25 06:36, slack,-
2020-02-25 09:48, ebb,-1.6
2020-02-25 13:54, slack,-
2020-02-25 15:54, flood,0.7
2020-02-25 18:12, slack,-
2020-02-25 21:12, ebb,-1.5
2020-02-26 00:42, slack,-
2020-02-26 03:36, flood,1.0
2020-02-26 06:48, slack,-
2020-02-26 10:06, ebb,-1.6
2020-02-26 14:12, slack,-
2020-02-26 16:12, flood,0.7
2020-02-26 19:00, slack,-
2020-02-26 21:54, ebb,-1.3
2020-02-27 01:24, slack,-
2020-02-27 04:00, flood,0.8
2020-02-27 06:48, slack,-
2020-02-27 10:30, ebb,-1.6
2020-02-27 14:24, slack,-
2020-02-27 16:42, flood,0.8
2020-02-27 19:54, slack,-
2020-02-27 22:48, ebb,-1.0
2020-02-28 02:00, slack,-
2020-02-28 04:36, flood,0.5
2020-02-28 06:36, slack,-
2020-02-28 10:54, ebb,-1.7
2020-02-28 14:42, slack,-
2020-02-28 17:18, flood,0.8
2020-02-28 20:54, slack,-
2020-02-28 23:42, ebb,-0.7
2020-02-29 02:36, slack,-
2020-02-29 05:06, flood,0.4
2020-02-29 06:42, slack,-
2020-02-29 11:30, ebb,-1.8
2020-02-29 15:06, slack,-
2020-02-29 17:54, flood,0.8
2020-02-29 22:00, slack,-
2020-03-01 00:42, ebb,-0.6
2020-03-01 03:30, slack,-
2020-03-01 05:48, flood,0.2
2020-03-01 07:06, slack,-
2020-03-01 12:12, ebb,-1.9
2020-03-01 15:42, slack,-
2020-03-01 18:36, flood,0.8
2020-03-01 23:18, slack,-
2020-03-02 01:48, ebb,-0.4
2020-03-02 05:54, slack,-
2020-03-02 07:24, slack,-
2020-03-02 13:00, ebb,-1.9
2020-03-02 16:30, slack,-
2020-03-02 19:24, flood,0.8
2020-03-03 00:30, slack,-
2020-03-03 03:18, ebb,-0.4
2020-03-03 07:54, slack,-
2020-03-03 13:48, ebb,-1.8
2020-03-03 17:24, slack,-
2020-03-03 20:12, flood,0.8
2020-03-04 01:42, slack,-
2020-03-04 04:36, ebb,-0.6
2020-03-04 09:06, ebb,-0.1
2020-03-04 14:48, ebb,-1.7
2020-03-04 18:18, slack,-
2020-03-04 21:18, flood,0.9
2020-03-05 02:36, slack,-
2020-03-05 05:36, ebb,-0.9
2020-03-05 10:18, ebb,-0.1
2020-03-05 16:00, ebb,-1.7
2020-03-05 19:18, slack,-
2020-03-05 22:30, flood,1.1
2020-03-06 03:24, slack,-
2020-03-06 06:18, ebb,-1.2
2020-03-06 11:24, slack,-
2020-03-06 17:06, ebb,-1.8
2020-03-06 20:18, slack,-
