Year,Month,Day,net_move,Station
2018,11,01,4.113,TWC1165
2018,11,02,5.519,TWC1165
2018,11,03,6.084999999999999,TWC1165
2018,11,04,6.5440000000000005,TWC1165
2018,11,05,7.062000000000001,TWC1165
2018,11,06,7.472999999999999,TWC1165
2018,11,07,7.683,TWC1165
2018,11,08,7.672000000000001,TWC1165
2018,11,09,7.442000000000001,TWC1165
2018,11,10,7.03,TWC1165
2018,11,11,4.145,TWC1165
2018,11,12,6.186,TWC1165
2018,11,13,5.712999999999999,TWC1165
2018,11,14,5.279,TWC1165
2018,11,15,4.897,TWC1165
2018,11,16,4.667,TWC1165
2018,11,17,4.134,TWC1165
2018,11,18,4.686,TWC1165
2018,11,19,5.22,TWC1165
2018,11,20,5.913,TWC1165
2018,11,21,6.642,TWC1165
2018,11,22,7.312000000000001,TWC1165
2018,11,23,7.832000000000001,TWC1165
2018,11,24,8.121,TWC1165
2018,11,25,8.129999999999999,TWC1165
2018,11,26,4.890000000000001,TWC1165
2018,11,27,7.695,TWC1165
2018,11,28,7.202,TWC1165
2018,11,29,6.715,TWC1165
2018,11,30,6.343999999999999,TWC1165
