Year,Month,Day,net_move,Station
2018,11,01,3.4370000000000003,9448772
2018,11,02,4.99,9448772
2018,11,03,5.329,9448772
2018,11,04,5.7989999999999995,9448772
2018,11,05,6.318,9448772
2018,11,06,6.722,9448772
2018,11,07,6.92,9448772
2018,11,08,6.889,9448772
2018,11,09,6.6370000000000005,9448772
2018,11,10,3.718,9448772
2018,11,11,5.877,9448772
2018,11,12,5.537999999999999,9448772
2018,11,13,5.159000000000001,9448772
2018,11,14,4.701,9448772
2018,11,15,4.1979999999999995,9448772
2018,11,16,3.8659999999999997,9448772
2018,11,17,3.534,9448772
2018,11,18,3.8810000000000002,9448772
2018,11,19,4.4159999999999995,9448772
2018,11,20,5.114,9448772
2018,11,21,5.845,9448772
2018,11,22,6.52,9448772
2018,11,23,7.039,9448772
2018,11,24,7.327,9448772
2018,11,25,7.329,9448772
2018,11,26,4.141,9448772
2018,11,27,6.893,9448772
2018,11,28,6.429,9448772
2018,11,29,5.947,9448772
2018,11,30,5.5969999999999995,9448772
