Year,Month,Day,Amplitude,Station
2021,10,01,1.3,PCT2266
2021,10,02,1.4,PCT2266
2021,10,03,1.5,PCT2266
2021,10,04,1.5,PCT2266
2021,10,05,1.5,PCT2266
2021,10,06,1.4,PCT2266
2021,10,07,1.6,PCT2266
2021,10,08,1.7000000000000002,PCT2266
2021,10,09,1.7000000000000002,PCT2266
2021,10,10,1.6,PCT2266
2021,10,11,1.8,PCT2266
2021,10,12,1.8,PCT2266
2021,10,13,1.8,PCT2266
2021,10,14,1.7,PCT2266
2021,10,15,1.6,PCT2266
2021,10,16,1.5,PCT2266
2021,10,17,1.5,PCT2266
2021,10,18,1.4,PCT2266
2021,10,19,1.4,PCT2266
2021,10,20,1.4,PCT2266
2021,10,21,1.5,PCT2266
2021,10,22,1.5,PCT2266
2021,10,23,1.5,PCT2266
2021,10,24,1.5,PCT2266
2021,10,25,1.3,PCT2266
2021,10,26,1.5,PCT2266
2021,10,27,1.4,PCT2266
2021,10,28,1.3,PCT2266
2021,10,29,1.3,PCT2266
2021,10,30,1.3,PCT2266
2021,10,31,1.2999999999999998,PCT2266
2021,11,01,1.2999999999999998,PCT2266
2021,11,02,1.4,PCT2266
2021,11,03,1.5,PCT2266
2021,11,04,1.8,PCT2266
2021,11,05,1.9,PCT2266
2021,11,06,2,PCT2266
2021,11,07,2.1,PCT2266
2021,11,08,2.1,PCT2266
2021,11,09,2,PCT2266
2021,11,10,1.7000000000000002,PCT2266
2021,11,11,1.7,PCT2266
2021,11,12,1.5,PCT2266
2021,11,13,1.4,PCT2266
2021,11,14,1.2999999999999998,PCT2266
2021,11,15,1.2999999999999998,PCT2266
2021,11,16,1,PCT2266
2021,11,17,1.5,PCT2266
2021,11,18,1.6,PCT2266
2021,11,19,1.7,PCT2266
2021,11,20,1.7,PCT2266
2021,11,21,1.7,PCT2266
2021,11,22,1.7,PCT2266
2021,11,23,1.7,PCT2266
2021,11,24,1.6,PCT2266
2021,11,25,1.5,PCT2266
2021,11,26,1.4,PCT2266
2021,11,27,1.4,PCT2266
2021,11,28,1.2999999999999998,PCT2266
2021,11,29,1.2,PCT2266
2021,11,30,1.2999999999999998,PCT2266
2021,12,01,1.6,PCT2266
2021,12,02,1.4,PCT2266
2021,12,03,2,PCT2266
2021,12,04,2.2,PCT2266
2021,12,05,2.3,PCT2266
2021,12,06,2.3,PCT2266
2021,12,07,2.2,PCT2266
2021,12,08,2.1,PCT2266
2021,12,09,1.7000000000000002,PCT2266
2021,12,10,1.5,PCT2266
2021,12,11,1.4,PCT2266
2021,12,12,1.2,PCT2266
2021,12,13,1.2,PCT2266
2021,12,14,1.4,PCT2266
2021,12,15,1.5,PCT2266
2021,12,16,0.8999999999999999,PCT2266
2021,12,17,1.7,PCT2266
2021,12,18,1.7,PCT2266
2021,12,19,1.9000000000000001,PCT2266
2021,12,20,1.9000000000000001,PCT2266
2021,12,21,1.8,PCT2266
2021,12,22,1.8,PCT2266
2021,12,23,1.7000000000000002,PCT2266
2021,12,24,1.6,PCT2266
2021,12,25,1.5,PCT2266
2021,12,26,1.2999999999999998,PCT2266
2021,12,27,1.2,PCT2266
2021,12,28,1.2999999999999998,PCT2266
2021,12,29,1.6,PCT2266
2021,12,30,1.9,PCT2266
2021,12,31,2.1,PCT2266
