Date_Time (LST/LDT), Event, Speed (knots)
2020-01-28 23:14, ebb,-1.0
2020-01-29 03:48, slack,-
2020-01-29 06:50, flood,0.9
2020-01-29 09:44, slack,-
2020-01-29 13:26, ebb,-0.7
2020-01-29 18:14, slack,-
2020-01-29 23:44, ebb,-0.8
2020-01-30 04:18, slack,-
2020-01-30 07:26, flood,0.8
2020-01-30 10:08, slack,-
2020-01-30 14:02, ebb,-0.8
2020-01-30 19:14, slack,-
2020-01-31 00:20, ebb,-0.6
2020-01-31 04:42, slack,-
2020-01-31 08:08, flood,0.7
2020-01-31 10:26, slack,-
2020-01-31 14:38, ebb,-0.9
2020-01-31 20:14, slack,-
2020-02-01 01:08, ebb,-0.4
2020-02-01 05:06, slack,-
2020-02-01 08:44, flood,0.6
2020-02-01 10:44, slack,-
2020-02-01 15:20, ebb,-1.1
2020-02-01 20:48, slack,-
2020-02-01 22:32, slack,-
2020-02-02 02:08, ebb,-0.2
2020-02-02 05:30, slack,-
2020-02-02 09:20, flood,0.4
2020-02-02 11:08, slack,-
2020-02-02 16:02, ebb,-1.2
2020-02-02 21:12, slack,-
2020-02-02 23:02, flood,0.2
2020-02-03 01:50, slack,-
2020-02-03 06:12, slack,-
2020-02-03 10:02, flood,0.3
2020-02-03 11:26, slack,-
2020-02-03 16:44, ebb,-1.3
2020-02-03 21:42, slack,-
2020-02-04 00:08, flood,0.4
2020-02-04 04:08, slack,-
2020-02-04 07:18, slack,-
2020-02-04 10:50, flood,0.2
2020-02-04 11:44, slack,-
2020-02-04 17:26, ebb,-1.4
2020-02-04 22:18, slack,-
2020-02-05 01:08, flood,0.7
2020-02-05 05:08, slack,-
2020-02-05 09:24, slack,-
2020-02-05 12:14, slack,-
2020-02-05 18:08, ebb,-1.5
2020-02-05 22:54, slack,-
2020-02-06 01:56, flood,0.9
2020-02-06 05:44, slack,-
2020-02-06 07:50, ebb,-0.2
2020-02-06 11:54, slack,-
2020-02-06 18:50, ebb,-1.6
2020-02-06 23:30, slack,-
2020-02-07 02:38, flood,1.0
2020-02-07 06:20, slack,-
2020-02-07 08:38, ebb,-0.2
2020-02-07 12:54, slack,-
2020-02-07 19:32, ebb,-1.7
2020-02-08 00:12, slack,-
2020-02-08 03:20, flood,1.2
2020-02-08 06:50, slack,-
2020-02-08 09:26, ebb,-0.3
2020-02-08 13:30, slack,-
2020-02-08 14:44, flood,0.1
2020-02-08 14:56, slack,-
2020-02-08 20:14, ebb,-1.7
2020-02-09 00:54, slack,-
2020-02-09 04:02, flood,1.2
2020-02-09 07:20, slack,-
2020-02-09 10:14, ebb,-0.4
2020-02-09 14:12, slack,-
2020-02-09 15:38, flood,0.2
2020-02-09 16:02, slack,-
2020-02-09 21:02, ebb,-1.6
2020-02-10 01:36, slack,-
2020-02-10 04:44, flood,1.3
2020-02-10 07:44, slack,-
2020-02-10 10:56, ebb,-0.6
2020-02-10 14:54, slack,-
2020-02-10 16:32, flood,0.2
2020-02-10 17:02, slack,-
2020-02-10 21:50, ebb,-1.5
2020-02-11 02:18, slack,-
2020-02-11 05:20, flood,1.2
2020-02-11 08:14, slack,-
2020-02-11 11:38, ebb,-0.7
2020-02-11 15:48, slack,-
2020-02-11 17:26, flood,0.3
2020-02-11 18:08, slack,-
2020-02-11 22:44, ebb,-1.3
2020-02-12 03:00, slack,-
2020-02-12 06:02, flood,1.1
2020-02-12 08:44, slack,-
2020-02-12 12:26, ebb,-0.9
2020-02-12 16:42, slack,-
2020-02-12 18:20, flood,0.3
2020-02-12 19:20, slack,-
2020-02-12 23:38, ebb,-1.1
2020-02-13 03:48, slack,-
2020-02-13 06:50, flood,1.0
2020-02-13 09:14, slack,-
2020-02-13 13:14, ebb,-1.1
2020-02-13 17:36, slack,-
2020-02-13 19:26, flood,0.4
2020-02-13 20:38, slack,-
2020-02-14 00:38, ebb,-0.8
2020-02-14 04:30, slack,-
2020-02-14 07:32, flood,0.8
2020-02-14 09:38, slack,-
2020-02-14 13:56, ebb,-1.2
2020-02-14 18:30, slack,-
2020-02-14 20:26, flood,0.5
2020-02-14 22:20, slack,-
2020-02-15 01:50, ebb,-0.6
2020-02-15 05:24, slack,-
2020-02-15 08:20, flood,0.6
2020-02-15 10:08, slack,-
2020-02-15 14:44, ebb,-1.3
2020-02-15 19:18, slack,-
2020-02-15 21:38, flood,0.6
2020-02-16 00:14, slack,-
2020-02-16 03:20, ebb,-0.4
2020-02-16 06:36, slack,-
2020-02-16 09:08, flood,0.4
2020-02-16 10:32, slack,-
2020-02-16 15:38, ebb,-1.4
2020-02-16 20:12, slack,-
2020-02-16 22:50, flood,0.7
2020-02-17 02:14, slack,-
2020-02-17 04:50, ebb,-0.3
2020-02-17 08:30, slack,-
2020-02-17 10:08, flood,0.2
2020-02-17 10:50, slack,-
2020-02-17 16:32, ebb,-1.4
2020-02-17 21:06, slack,-
2020-02-18 00:08, flood,0.8
2020-02-18 03:50, slack,-
2020-02-18 06:26, ebb,-0.3
2020-02-18 10:38, slack,-
2020-02-18 17:26, ebb,-1.4
2020-02-18 22:00, slack,-
2020-02-19 01:20, flood,0.9
2020-02-19 04:50, slack,-
2020-02-19 08:02, ebb,-0.4
2020-02-19 11:50, slack,-
2020-02-19 18:14, ebb,-1.4
2020-02-19 22:48, slack,-
2020-02-20 02:20, flood,1.0
2020-02-20 05:38, slack,-
2020-02-20 09:08, ebb,-0.4
2020-02-20 12:56, slack,-
2020-02-20 19:08, ebb,-1.4
2020-02-20 23:42, slack,-
2020-02-21 03:02, flood,1.0
2020-02-21 06:20, slack,-
2020-02-21 09:50, ebb,-0.5
2020-02-21 13:50, slack,-
2020-02-21 19:50, ebb,-1.4
2020-02-22 00:30, slack,-
2020-02-22 03:38, flood,1.0
2020-02-22 06:56, slack,-
2020-02-22 10:20, ebb,-0.5
2020-02-22 14:18, slack,-
2020-02-22 20:38, ebb,-1.4
2020-02-23 01:12, slack,-
2020-02-23 04:08, flood,1.0
2020-02-23 07:20, slack,-
2020-02-23 10:38, ebb,-0.5
2020-02-23 14:36, slack,-
2020-02-23 15:44, flood,0.1
2020-02-23 16:02, slack,-
2020-02-23 21:14, ebb,-1.3
2020-02-24 01:48, slack,-
2020-02-24 04:44, flood,1.0
2020-02-24 07:38, slack,-
2020-02-24 10:56, ebb,-0.5
2020-02-24 15:06, slack,-
2020-02-24 16:20, flood,0.2
2020-02-24 16:50, slack,-
2020-02-24 21:44, ebb,-1.2
2020-02-25 02:24, slack,-
2020-02-25 05:14, flood,0.9
2020-02-25 07:50, slack,-
2020-02-25 11:20, ebb,-0.6
2020-02-25 15:36, slack,-
2020-02-25 17:02, flood,0.2
2020-02-25 17:38, slack,-
2020-02-25 22:20, ebb,-1.1
2020-02-26 02:54, slack,-
2020-02-26 05:44, flood,0.9
2020-02-26 08:08, slack,-
2020-02-26 11:50, ebb,-0.7
2020-02-26 16:12, slack,-
2020-02-26 17:44, flood,0.2
2020-02-26 18:26, slack,-
2020-02-26 22:50, ebb,-0.9
2020-02-27 03:18, slack,-
2020-02-27 06:14, flood,0.8
2020-02-27 08:32, slack,-
2020-02-27 12:20, ebb,-0.9
2020-02-27 16:54, slack,-
2020-02-27 18:32, flood,0.2
2020-02-27 19:20, slack,-
2020-02-27 23:26, ebb,-0.7
2020-02-28 03:42, slack,-
2020-02-28 06:50, flood,0.7
2020-02-28 08:50, slack,-
2020-02-28 12:56, ebb,-1.0
2020-02-28 17:36, slack,-
2020-02-28 19:20, flood,0.3
2020-02-28 20:20, slack,-
2020-02-29 00:02, ebb,-0.6
2020-02-29 04:12, slack,-
2020-02-29 07:20, flood,0.6
2020-02-29 09:08, slack,-
2020-02-29 13:32, ebb,-1.1
2020-02-29 18:18, slack,-
2020-02-29 20:14, flood,0.3
2020-02-29 21:38, slack,-
2020-03-01 00:56, ebb,-0.4
2020-03-01 04:42, slack,-
2020-03-01 07:56, flood,0.4
2020-03-01 09:26, slack,-
2020-03-01 14:14, ebb,-1.2
2020-03-01 19:00, slack,-
2020-03-01 21:08, flood,0.4
2020-03-01 23:14, slack,-
2020-03-02 01:56, ebb,-0.2
2020-03-02 05:24, slack,-
2020-03-02 08:38, flood,0.3
2020-03-02 09:44, slack,-
2020-03-02 15:02, ebb,-1.2
2020-03-02 19:48, slack,-
2020-03-02 22:08, flood,0.5
2020-03-03 01:14, slack,-
2020-03-03 03:44, ebb,-0.1
2020-03-03 06:30, slack,-
2020-03-03 09:14, flood,0.1
2020-03-03 09:56, slack,-
2020-03-03 15:56, ebb,-1.2
2020-03-03 20:36, slack,-
2020-03-03 23:08, flood,0.6
2020-03-04 03:14, slack,-
2020-03-04 05:26, ebb,-0.1
2020-03-04 09:36, slack,-
2020-03-04 16:50, ebb,-1.3
2020-03-04 21:24, slack,-
2020-03-05 00:14, flood,0.7
2020-03-05 04:20, slack,-
2020-03-05 06:32, ebb,-0.2
2020-03-05 10:56, slack,-
2020-03-05 17:38, ebb,-1.4
2020-03-05 22:18, slack,-
2020-03-06 01:20, flood,0.8
2020-03-06 04:56, slack,-
2020-03-06 07:32, ebb,-0.3
2020-03-06 12:08, slack,-
2020-03-06 18:32, ebb,-1.4
2020-03-06 23:06, slack,-
2020-03-07 02:08, flood,0.9
2020-03-07 05:26, slack,-
2020-03-07 08:14, ebb,-0.4
2020-03-07 12:30, slack,-
2020-03-07 13:44, flood,0.1
2020-03-07 14:08, slack,-
2020-03-07 19:20, ebb,-1.5
2020-03-07 23:54, slack,-
2020-03-08 03:56, flood,1.0
2020-03-08 06:50, slack,-
2020-03-08 09:56, ebb,-0.5
2020-03-08 14:00, slack,-
2020-03-08 15:44, flood,0.3
2020-03-08 16:26, slack,-
2020-03-08 21:08, ebb,-1.5
2020-03-09 01:36, slack,-
2020-03-09 04:32, flood,1.1
2020-03-09 07:14, slack,-
2020-03-09 10:32, ebb,-0.7
2020-03-09 14:30, slack,-
2020-03-09 16:32, flood,0.4
2020-03-09 17:38, slack,-
2020-03-09 21:56, ebb,-1.4
2020-03-10 02:18, slack,-
2020-03-10 05:14, flood,1.1
2020-03-10 07:38, slack,-
2020-03-10 11:08, ebb,-0.9
2020-03-10 15:12, slack,-
2020-03-10 17:26, flood,0.6
2020-03-10 18:44, slack,-
2020-03-10 22:44, ebb,-1.3
2020-03-11 03:06, slack,-
2020-03-11 05:56, flood,1.0
2020-03-11 08:08, slack,-
2020-03-11 11:50, ebb,-1.1
2020-03-11 16:00, slack,-
2020-03-11 18:14, flood,0.7
2020-03-11 19:50, slack,-
2020-03-11 23:44, ebb,-1.1
2020-03-12 03:48, slack,-
2020-03-12 06:32, flood,0.9
2020-03-12 08:32, slack,-
2020-03-12 12:32, ebb,-1.2
2020-03-12 16:42, slack,-
2020-03-12 19:08, flood,0.8
2020-03-12 21:02, slack,-
2020-03-13 00:38, ebb,-0.9
2020-03-13 04:36, slack,-
2020-03-13 07:14, flood,0.7
2020-03-13 09:02, slack,-
2020-03-13 13:20, ebb,-1.3
2020-03-13 17:36, slack,-
2020-03-13 20:02, flood,0.8
2020-03-13 22:20, slack,-
2020-03-14 01:44, ebb,-0.7
2020-03-14 05:30, slack,-
2020-03-14 08:02, flood,0.5
2020-03-14 09:26, slack,-
2020-03-14 14:02, ebb,-1.4
2020-03-14 18:24, slack,-
2020-03-14 21:02, flood,0.9
2020-03-14 23:44, slack,-
2020-03-15 02:56, ebb,-0.5
2020-03-15 06:48, slack,-
2020-03-15 08:50, flood,0.3
2020-03-15 09:50, slack,-
2020-03-15 14:56, ebb,-1.3
2020-03-15 19:18, slack,-
2020-03-15 22:02, flood,0.8
2020-03-16 01:14, slack,-
2020-03-16 04:26, ebb,-0.4
2020-03-16 08:36, slack,-
2020-03-16 09:56, slack,-
2020-03-16 15:56, ebb,-1.2
2020-03-16 20:18, slack,-
2020-03-16 23:08, flood,0.8
2020-03-17 02:50, slack,-
2020-03-17 06:02, ebb,-0.4
2020-03-17 10:14, slack,-
2020-03-17 16:56, ebb,-1.2
2020-03-17 21:24, slack,-
2020-03-18 00:20, flood,0.8
2020-03-18 04:14, slack,-
2020-03-18 07:50, ebb,-0.4
2020-03-18 11:32, ebb,-0.2
2020-03-18 18:02, ebb,-1.1
2020-03-18 22:30, slack,-
2020-03-19 01:50, flood,0.8
2020-03-19 05:14, slack,-
2020-03-19 09:02, ebb,-0.5
2020-03-19 13:08, ebb,-0.2
2020-03-19 19:02, ebb,-1.1
2020-03-19 23:30, slack,-
2020-03-20 03:02, flood,0.8
2020-03-20 06:02, slack,-
2020-03-20 09:44, ebb,-0.5
2020-03-20 14:20, slack,-
2020-03-20 19:56, ebb,-1.1
2020-03-21 00:30, slack,-
2020-03-21 03:44, flood,0.8
2020-03-21 06:32, slack,-
2020-03-21 10:14, ebb,-0.5
2020-03-21 14:36, slack,-
2020-03-21 15:44, slack,-
2020-03-21 20:44, ebb,-1.1
2020-03-22 01:18, slack,-
2020-03-22 04:20, flood,0.8
2020-03-22 06:50, slack,-
2020-03-22 10:20, ebb,-0.6
2020-03-22 14:36, slack,-
2020-03-22 16:02, flood,0.2
2020-03-22 16:50, slack,-
2020-03-22 21:26, ebb,-1.1
2020-03-23 02:00, slack,-
2020-03-23 04:44, flood,0.8
2020-03-23 07:02, slack,-
2020-03-23 10:38, ebb,-0.7
2020-03-23 14:54, slack,-
2020-03-23 16:38, flood,0.3
2020-03-23 17:44, slack,-
2020-03-23 22:02, ebb,-1.0
2020-03-24 02:30, slack,-
2020-03-24 05:08, flood,0.8
2020-03-24 07:20, slack,-
2020-03-24 10:56, ebb,-0.8
2020-03-24 15:18, slack,-
2020-03-24 17:08, flood,0.4
2020-03-24 18:26, slack,-
2020-03-24 22:38, ebb,-0.9
2020-03-25 03:00, slack,-
2020-03-25 05:32, flood,0.7
2020-03-25 07:32, slack,-
2020-03-25 11:20, ebb,-0.9
2020-03-25 15:42, slack,-
2020-03-25 17:44, flood,0.5
2020-03-25 19:14, slack,-
2020-03-25 23:08, ebb,-0.8
2020-03-26 03:24, slack,-
2020-03-26 06:02, flood,0.7
2020-03-26 07:50, slack,-
2020-03-26 11:44, ebb,-1.0
2020-03-26 16:12, slack,-
2020-03-26 18:26, flood,0.5
2020-03-26 20:08, slack,-
2020-03-26 23:38, ebb,-0.7
2020-03-27 03:54, slack,-
2020-03-27 06:38, flood,0.6
2020-03-27 08:08, slack,-
2020-03-27 12:20, ebb,-1.2
2020-03-27 16:42, slack,-
2020-03-27 19:08, flood,0.6
2020-03-27 20:56, slack,-
2020-03-28 00:20, ebb,-0.6
2020-03-28 04:24, slack,-
2020-03-28 07:08, flood,0.5
2020-03-28 08:26, slack,-
2020-03-28 12:50, ebb,-1.2
2020-03-28 17:18, slack,-
2020-03-28 19:50, flood,0.7
2020-03-28 21:56, slack,-
2020-03-29 01:02, ebb,-0.5
2020-03-29 05:06, slack,-
2020-03-29 07:38, flood,0.3
2020-03-29 08:44, slack,-
2020-03-29 13:32, ebb,-1.2
2020-03-29 18:00, slack,-
2020-03-29 20:38, flood,0.7
2020-03-29 23:02, slack,-
2020-03-30 01:56, ebb,-0.4
2020-03-30 06:00, slack,-
2020-03-30 08:14, flood,0.2
2020-03-30 08:56, slack,-
2020-03-30 14:14, ebb,-1.2
2020-03-30 18:48, slack,-
2020-03-30 21:26, flood,0.7
2020-03-31 00:20, slack,-
2020-03-31 03:14, ebb,-0.3
2020-03-31 07:42, slack,-
2020-03-31 08:56, slack,-
2020-03-31 15:02, ebb,-1.2
2020-03-31 19:36, slack,-
2020-03-31 22:26, flood,0.7
2020-04-01 01:50, slack,-
2020-04-01 05:02, ebb,-0.2
2020-04-01 09:08, slack,-
2020-04-01 16:02, ebb,-1.1
2020-04-01 20:36, slack,-
2020-04-01 23:26, flood,0.7
2020-04-02 03:20, slack,-
2020-04-02 06:26, ebb,-0.3
2020-04-02 10:26, ebb,-0.1
2020-04-02 17:08, ebb,-1.1
2020-04-02 21:36, slack,-
2020-04-03 00:32, flood,0.7
2020-04-03 04:14, slack,-
2020-04-03 07:26, ebb,-0.4
2020-04-03 11:50, ebb,-0.1
2020-04-03 18:14, ebb,-1.1
2020-04-03 22:36, slack,-
2020-04-04 01:38, flood,0.8
2020-04-04 04:50, slack,-
2020-04-04 08:02, ebb,-0.5
2020-04-04 13:06, slack,-
2020-04-04 19:08, ebb,-1.2
2020-04-04 23:36, slack,-
2020-04-05 02:32, flood,0.8
2020-04-05 05:20, slack,-
2020-04-05 08:38, ebb,-0.7
2020-04-05 13:06, slack,-
2020-04-05 14:50, flood,0.2
2020-04-05 15:44, slack,-
2020-04-05 20:08, ebb,-1.2
2020-04-06 00:24, slack,-
2020-04-06 03:20, flood,0.9
2020-04-06 05:44, slack,-
2020-04-06 09:14, ebb,-0.9
2020-04-06 13:30, slack,-
2020-04-06 15:38, flood,0.5
2020-04-06 17:08, slack,-
2020-04-06 21:02, ebb,-1.2
2020-04-07 01:12, slack,-
2020-04-07 04:02, flood,0.9
2020-04-07 06:08, slack,-
2020-04-07 09:50, ebb,-1.1
2020-04-07 14:00, slack,-
2020-04-07 16:26, flood,0.7
2020-04-07 18:14, slack,-
2020-04-07 21:50, ebb,-1.1
2020-04-08 02:00, slack,-
2020-04-08 04:38, flood,0.9
2020-04-08 06:32, slack,-
2020-04-08 10:26, ebb,-1.3
2020-04-08 14:42, slack,-
2020-04-08 17:20, flood,1.0
2020-04-08 19:20, slack,-
2020-04-08 22:44, ebb,-1.0
2020-04-09 02:48, slack,-
2020-04-09 05:20, flood,0.8
2020-04-09 06:56, slack,-
2020-04-09 11:02, ebb,-1.5
2020-04-09 15:18, slack,-
2020-04-09 18:02, flood,1.1
2020-04-09 20:26, slack,-
2020-04-09 23:44, ebb,-0.9
2020-04-10 03:42, slack,-
2020-04-10 06:02, flood,0.6
2020-04-10 07:20, slack,-
2020-04-10 11:44, ebb,-1.6
2020-04-10 16:00, slack,-
2020-04-10 18:50, flood,1.2
2020-04-10 21:32, slack,-
2020-04-11 00:44, ebb,-0.7
2020-04-11 04:42, slack,-
2020-04-11 06:44, flood,0.4
2020-04-11 07:44, slack,-
2020-04-11 12:26, ebb,-1.5
2020-04-11 16:48, slack,-
2020-04-11 19:38, flood,1.2
2020-04-11 22:38, slack,-
2020-04-12 01:50, ebb,-0.6
2020-04-12 05:54, slack,-
2020-04-12 07:32, flood,0.2
2020-04-12 08:08, slack,-
2020-04-12 13:14, ebb,-1.4
2020-04-12 17:36, slack,-
2020-04-12 20:32, flood,1.2
2020-04-12 23:44, slack,-
2020-04-13 03:02, ebb,-0.5
2020-04-13 07:54, slack,-
2020-04-13 14:02, ebb,-1.3
2020-04-13 18:30, slack,-
2020-04-13 21:26, flood,1.0
2020-04-14 01:02, slack,-
2020-04-14 04:26, ebb,-0.5
2020-04-14 08:44, ebb,-0.2
2020-04-14 15:08, ebb,-1.1
2020-04-14 19:30, slack,-
2020-04-14 22:32, flood,0.9
2020-04-15 02:20, slack,-
2020-04-15 06:14, ebb,-0.5
2020-04-15 09:56, ebb,-0.3
2020-04-15 16:20, ebb,-1.0
2020-04-15 20:36, slack,-
2020-04-15 23:38, flood,0.7
2020-04-16 03:32, slack,-
2020-04-16 07:44, ebb,-0.6
2020-04-16 11:50, ebb,-0.3
2020-04-16 17:38, ebb,-0.9
2020-04-16 21:54, slack,-
2020-04-17 01:14, flood,0.7
2020-04-17 04:26, slack,-
2020-04-17 08:32, ebb,-0.6
2020-04-17 13:44, ebb,-0.1
2020-04-17 18:44, ebb,-0.8
2020-04-17 23:06, slack,-
2020-04-18 02:26, flood,0.6
2020-04-18 04:56, slack,-
2020-04-18 09:02, ebb,-0.7
2020-04-18 14:42, slack,-
2020-04-18 19:44, ebb,-0.8
2020-04-19 00:06, slack,-
2020-04-19 03:08, flood,0.6
2020-04-19 05:20, slack,-
2020-04-19 09:08, ebb,-0.7
2020-04-19 14:00, slack,-
2020-04-19 15:44, flood,0.2
2020-04-19 16:26, slack,-
2020-04-19 20:32, ebb,-0.8
2020-04-20 00:48, slack,-
2020-04-20 03:38, flood,0.6
2020-04-20 05:32, slack,-
2020-04-20 09:20, ebb,-0.8
2020-04-20 14:00, slack,-
2020-04-20 16:08, flood,0.3
2020-04-20 17:26, slack,-
2020-04-20 21:14, ebb,-0.7
2020-04-21 01:30, slack,-
2020-04-21 04:02, flood,0.6
2020-04-21 05:44, slack,-
2020-04-21 09:38, ebb,-1.0
2020-04-21 14:18, slack,-
2020-04-21 16:32, flood,0.5
2020-04-21 18:14, slack,-
2020-04-21 21:50, ebb,-0.7
2020-04-22 02:00, slack,-
2020-04-22 04:26, flood,0.5
2020-04-22 06:02, slack,-
2020-04-22 09:56, ebb,-1.1
2020-04-22 14:36, slack,-
2020-04-22 16:56, flood,0.6
2020-04-22 19:02, slack,-
2020-04-22 22:20, ebb,-0.6
2020-04-23 02:24, slack,-
2020-04-23 04:50, flood,0.5
2020-04-23 06:14, slack,-
2020-04-23 10:26, ebb,-1.3
2020-04-23 15:00, slack,-
2020-04-23 17:32, flood,0.8
2020-04-23 19:44, slack,-
2020-04-23 22:56, ebb,-0.6
2020-04-24 03:00, slack,-
2020-04-24 05:20, flood,0.5
2020-04-24 06:32, slack,-
2020-04-24 10:56, ebb,-1.4
2020-04-24 15:24, slack,-
2020-04-24 18:02, flood,0.9
2020-04-24 20:32, slack,-
2020-04-24 23:32, ebb,-0.5
2020-04-25 03:36, slack,-
2020-04-25 05:56, flood,0.4
