Date_Time (LST/LDT), Event, Speed (knots)
2020-01-31 01:12, ebb,-0.8
2020-01-31 04:36, slack,-
2020-01-31 07:18, flood,0.5
2020-01-31 10:48, slack,-
2020-01-31 14:48, ebb,-0.9
2020-01-31 19:30, ebb,-0.2
2020-02-01 01:36, ebb,-0.7
2020-02-01 05:06, slack,-
2020-02-01 07:36, flood,0.3
2020-02-01 11:00, slack,-
2020-02-01 15:24, ebb,-0.9
2020-02-01 20:18, ebb,-0.2
2020-02-02 01:48, ebb,-0.5
2020-02-02 05:36, slack,-
2020-02-02 07:48, flood,0.2
2020-02-02 11:00, slack,-
2020-02-02 16:18, ebb,-1.0
2020-02-02 21:30, ebb,-0.2
2020-02-03 02:00, ebb,-0.4
2020-02-03 06:00, slack,-
2020-02-03 07:42, flood,0.1
2020-02-03 10:24, slack,-
2020-02-03 17:06, ebb,-1.1
2020-02-03 23:36, slack,-
2020-02-04 02:30, ebb,-0.2
2020-02-04 06:24, slack,-
2020-02-04 09:54, slack,-
2020-02-04 17:54, ebb,-1.2
2020-02-04 23:18, slack,-
2020-02-05 02:12, slack,-
2020-02-05 06:36, slack,-
2020-02-05 08:54, slack,-
2020-02-05 18:48, ebb,-1.3
2020-02-05 23:36, slack,-
2020-02-06 01:24, flood,0.2
2020-02-06 06:54, slack,-
2020-02-06 10:12, ebb,-0.1
2020-02-06 12:24, slack,-
2020-02-06 19:48, ebb,-1.4
2020-02-07 00:06, slack,-
2020-02-07 02:12, flood,0.3
2020-02-07 07:00, slack,-
2020-02-07 10:12, ebb,-0.3
2020-02-07 13:30, slack,-
2020-02-07 20:42, ebb,-1.4
2020-02-08 00:36, slack,-
2020-02-08 02:48, flood,0.5
2020-02-08 07:06, slack,-
2020-02-08 10:24, ebb,-0.4
2020-02-08 14:06, slack,-
2020-02-08 15:18, slack,-
2020-02-08 21:30, ebb,-1.4
2020-02-09 01:06, slack,-
2020-02-09 03:24, flood,0.7
2020-02-09 07:12, slack,-
2020-02-09 10:48, ebb,-0.7
2020-02-09 14:36, slack,-
2020-02-09 16:30, slack,-
2020-02-09 22:12, ebb,-1.4
2020-02-10 01:36, slack,-
2020-02-10 03:54, flood,0.8
2020-02-10 07:36, slack,-
2020-02-10 11:24, ebb,-0.9
2020-02-10 15:18, slack,-
2020-02-10 16:18, flood,0.1
2020-02-10 17:24, slack,-
2020-02-10 22:54, ebb,-1.3
2020-02-11 02:12, slack,-
2020-02-11 04:36, flood,0.9
2020-02-11 08:06, slack,-
2020-02-11 12:06, ebb,-1.1
2020-02-11 16:00, slack,-
2020-02-11 17:00, flood,0.1
2020-02-11 18:18, slack,-
2020-02-11 23:36, ebb,-1.2
2020-02-12 02:48, slack,-
2020-02-12 05:18, flood,0.9
2020-02-12 08:36, slack,-
2020-02-12 12:48, ebb,-1.2
2020-02-12 16:36, slack,-
2020-02-12 17:48, flood,0.2
2020-02-12 19:12, slack,-
2020-02-13 00:24, ebb,-1.1
2020-02-13 03:30, slack,-
2020-02-13 06:00, flood,0.9
2020-02-13 09:06, slack,-
2020-02-13 13:24, ebb,-1.2
2020-02-13 17:18, slack,-
2020-02-13 18:36, flood,0.2
2020-02-13 20:06, slack,-
2020-02-14 01:12, ebb,-1.0
2020-02-14 04:12, slack,-
2020-02-14 06:42, flood,0.7
2020-02-14 09:42, slack,-
2020-02-14 14:06, ebb,-1.2
2020-02-14 18:00, slack,-
2020-02-14 19:24, flood,0.2
2020-02-14 21:00, slack,-
2020-02-15 02:00, ebb,-0.8
2020-02-15 05:12, slack,-
2020-02-15 07:30, flood,0.5
2020-02-15 10:06, slack,-
2020-02-15 14:48, ebb,-1.1
2020-02-15 18:48, slack,-
2020-02-15 20:06, flood,0.2
2020-02-15 22:00, slack,-
2020-02-16 02:48, ebb,-0.6
2020-02-16 06:30, slack,-
2020-02-16 08:18, flood,0.3
2020-02-16 10:30, slack,-
2020-02-16 15:30, ebb,-1.1
2020-02-16 19:48, slack,-
2020-02-16 21:12, flood,0.2
2020-02-16 23:24, slack,-
2020-02-17 03:54, ebb,-0.5
2020-02-17 08:36, slack,-
2020-02-17 10:24, slack,-
2020-02-17 16:30, ebb,-1.0
2020-02-17 21:06, slack,-
2020-02-17 23:00, flood,0.2
2020-02-18 01:06, slack,-
2020-02-18 05:36, ebb,-0.3
2020-02-18 11:24, slack,-
2020-02-18 17:24, ebb,-1.0
2020-02-18 22:18, slack,-
2020-02-19 00:18, flood,0.2
2020-02-19 03:48, slack,-
2020-02-19 08:54, ebb,-0.4
2020-02-19 12:30, slack,-
2020-02-19 18:24, ebb,-1.1
2020-02-19 23:18, slack,-
2020-02-20 01:24, flood,0.3
2020-02-20 05:42, slack,-
2020-02-20 09:36, ebb,-0.5
2020-02-20 13:24, slack,-
2020-02-20 19:36, ebb,-1.1
2020-02-21 00:06, slack,-
2020-02-21 02:30, flood,0.4
2020-02-21 06:42, slack,-
2020-02-21 10:18, ebb,-0.6
2020-02-21 14:24, slack,-
2020-02-21 20:42, ebb,-1.2
2020-02-22 00:48, slack,-
2020-02-22 03:18, flood,0.5
2020-02-22 07:18, slack,-
2020-02-22 10:48, ebb,-0.7
2020-02-22 14:30, slack,-
2020-02-22 15:48, slack,-
2020-02-22 21:24, ebb,-1.2
2020-02-23 01:24, slack,-
2020-02-23 03:54, flood,0.5
2020-02-23 07:48, slack,-
2020-02-23 11:18, ebb,-0.7
2020-02-23 15:00, slack,-
2020-02-23 16:36, slack,-
2020-02-23 22:00, ebb,-1.2
2020-02-24 01:54, slack,-
2020-02-24 04:30, flood,0.6
2020-02-24 08:06, slack,-
2020-02-24 11:42, ebb,-0.8
2020-02-24 15:36, slack,-
2020-02-24 17:06, slack,-
2020-02-24 22:30, ebb,-1.2
2020-02-25 02:24, slack,-
2020-02-25 04:54, flood,0.6
2020-02-25 08:24, slack,-
2020-02-25 12:00, ebb,-0.8
2020-02-25 16:12, slack,-
2020-02-25 17:30, slack,-
2020-02-25 23:00, ebb,-1.1
2020-02-26 02:48, slack,-
2020-02-26 05:24, flood,0.6
2020-02-26 08:42, slack,-
2020-02-26 12:24, ebb,-0.9
2020-02-26 16:42, slack,-
2020-02-26 17:54, slack,-
2020-02-26 23:36, ebb,-1.0
2020-02-27 03:18, slack,-
2020-02-27 05:48, flood,0.5
2020-02-27 09:00, slack,-
2020-02-27 12:54, ebb,-0.9
2020-02-27 17:00, slack,-
2020-02-27 18:36, slack,-
2020-02-28 00:06, ebb,-0.9
2020-02-28 03:48, slack,-
2020-02-28 06:12, flood,0.5
2020-02-28 09:18, slack,-
2020-02-28 13:30, ebb,-0.9
2020-02-28 17:24, slack,-
2020-02-28 19:18, slack,-
2020-02-29 00:42, ebb,-0.8
2020-02-29 04:12, slack,-
2020-02-29 06:30, flood,0.4
2020-02-29 09:24, slack,-
2020-02-29 14:00, ebb,-1.0
2020-02-29 18:06, slack,-
2020-02-29 20:00, slack,-
2020-03-01 01:06, ebb,-0.6
2020-03-01 04:36, slack,-
2020-03-01 06:48, flood,0.3
2020-03-01 09:12, slack,-
2020-03-01 14:42, ebb,-1.0
2020-03-01 19:00, slack,-
2020-03-01 20:30, slack,-
2020-03-02 01:00, ebb,-0.5
2020-03-02 04:54, slack,-
2020-03-02 07:00, flood,0.2
2020-03-02 09:06, slack,-
2020-03-02 15:30, ebb,-1.1
2020-03-02 20:36, slack,-
2020-03-03 01:18, ebb,-0.3
2020-03-03 05:18, slack,-
2020-03-03 06:54, flood,0.1
2020-03-03 09:06, slack,-
2020-03-03 16:30, ebb,-1.1
2020-03-03 22:12, slack,-
2020-03-04 01:54, ebb,-0.2
2020-03-04 05:48, slack,-
2020-03-04 08:48, slack,-
2020-03-04 17:24, ebb,-1.2
2020-03-04 22:42, slack,-
2020-03-05 01:24, slack,-
2020-03-05 04:06, slack,-
2020-03-05 05:42, slack,-
2020-03-05 07:24, slack,-
2020-03-05 09:42, ebb,-0.1
2020-03-05 11:18, ebb,-0.1
2020-03-05 18:18, ebb,-1.2
2020-03-05 23:06, slack,-
2020-03-06 00:42, flood,0.2
2020-03-06 03:54, slack,-
2020-03-06 09:36, ebb,-0.3
2020-03-06 12:42, slack,-
2020-03-06 19:18, ebb,-1.2
2020-03-06 23:30, slack,-
2020-03-07 01:30, flood,0.3
2020-03-07 04:48, slack,-
2020-03-07 09:36, ebb,-0.5
2020-03-07 13:12, slack,-
2020-03-07 14:36, slack,-
2020-03-07 20:18, ebb,-1.2
2020-03-08 00:00, slack,-
2020-03-08 03:12, flood,0.5
2020-03-08 06:24, slack,-
2020-03-08 10:48, ebb,-0.7
2020-03-08 14:30, slack,-
2020-03-08 15:48, flood,0.1
2020-03-08 17:00, slack,-
2020-03-08 22:12, ebb,-1.2
2020-03-09 01:36, slack,-
2020-03-09 03:54, flood,0.7
2020-03-09 07:00, slack,-
2020-03-09 11:18, ebb,-1.0
