Year,Month,Day,net_move,Station
2019,10,01,3.0740000000000003,TWC1165
2019,10,02,7.5,TWC1165
2019,10,03,6.800000000000001,TWC1165
2019,10,04,6.0809999999999995,TWC1165
2019,10,05,5.561999999999999,TWC1165
2019,10,06,5.298,TWC1165
2019,10,07,5.193,TWC1165
2019,10,08,4.773,TWC1165
2019,10,09,5.2090000000000005,TWC1165
2019,10,10,5.448,TWC1165
2019,10,11,5.725,TWC1165
2019,10,12,6.016,TWC1165
2019,10,13,6.289,TWC1165
2019,10,14,6.49,TWC1165
2019,10,15,6.574,TWC1165
2019,10,16,6.519,TWC1165
2019,10,17,3.9499999999999997,TWC1165
2019,10,18,6.063000000000001,TWC1165
2019,10,19,5.774000000000001,TWC1165
2019,10,20,5.535,TWC1165
2019,10,21,5.4670000000000005,TWC1165
2019,10,22,5.589,TWC1165
2019,10,23,5.433,TWC1165
2019,10,24,6.155,TWC1165
2019,10,25,6.84,TWC1165
2019,10,26,7.556999999999999,TWC1165
2019,10,27,8.144,TWC1165
2019,10,28,8.47,TWC1165
2019,10,29,8.469,TWC1165
2019,10,30,8.139999999999999,TWC1165
2019,10,31,4.78,TWC1165
