Year,Month,Day,net_move,Station
2017,10,01,4.007,9449798
2017,10,02,4.782,9449798
2017,10,03,5.383,9449798
2017,10,04,5.9990000000000006,9449798
2017,10,05,6.552,9449798
2017,10,06,6.95,9449798
2017,10,07,7.134,9449798
2017,10,08,4.591,9449798
2017,10,09,6.74,9449798
2017,10,10,6.340000000000001,9449798
2017,10,11,5.857,9449798
2017,10,12,5.465,9449798
2017,10,13,5.31,9449798
2017,10,14,4.922,9449798
2017,10,15,5.3740000000000006,9449798
2017,10,16,5.6850000000000005,9449798
2017,10,17,6.016,9449798
2017,10,18,6.255,9449798
2017,10,19,6.36,9449798
2017,10,20,6.327999999999999,9449798
2017,10,21,6.167,9449798
2017,10,22,3.7399999999999998,9449798
2017,10,23,5.577,9449798
2017,10,24,5.145999999999999,9449798
2017,10,25,4.701,9449798
2017,10,26,4.356,9449798
2017,10,27,4.1240000000000006,9449798
2017,10,28,4.003,9449798
2017,10,29,4.0840000000000005,9449798
2017,10,30,3.8619999999999997,9449798
2017,10,31,4.661,9449798
